x,l,a,y,p,t
101.0469,0.860973,-0.268672,346.6758,0.333333,534428629.823656
101.0469,0.860973,-0.268672,346.8047,0.333333,534428629.849113
101.0469,0.860973,-0.268672,346.8047,0.333333,534428629.849245
101.0469,0.860973,-0.268672,346.8047,0.333333,534428629.849364
101.0469,0.860973,-0.268672,346.8047,0.333333,534428629.849403
101.0469,0.860973,-0.268672,346.8047,0.333333,534428629.849438
101.1094,0.860973,-0.268672,346.8047,0.333333,534428629.866819
101.25,0.860973,-0.268672,346.8047,0.338281,534428629.866955
101.4375,0.860973,-0.268672,346.8047,0.343229,534428629.886775
101.5781,0.860973,-0.268672,346.8047,0.376563,534428629.88688
101.7813,0.860973,-0.268672,346.8047,0.306088,534428629.886904
101.9063,0.860973,-0.268672,346.8047,0.23117,534428629.886925
102.1094,0.860973,-0.268672,346.8047,0.198638,534428629.886956
102.2344,0.860973,-0.268672,346.8047,0.187298,534428629.887105
102.375,0.860973,-0.268672,346.8047,0.156644,534428629.899843
102.5,0.860973,-0.268672,346.8047,0.164186,534428629.899927
102.6406,0.860973,-0.268672,346.8047,0.173614,534428629.899961
102.7656,0.860973,-0.268672,346.8047,0.181157,534428629.899987
102.9063,0.860973,-0.268672,346.8047,0.205075,534428629.916481
102.9688,0.860973,-0.268672,346.9453,0.212737,534428629.916575
103.1094,0.860973,-0.268672,347.0039,0.220399,534428629.916595
103.1719,0.860973,-0.268672,347.0039,0.228061,534428629.916612
103.2969,0.860973,-0.268672,347.0039,0.237638,534428629.933046
103.5,0.860973,-0.268672,347.0039,0.232619,534428629.933152
103.625,0.860973,-0.268672,347.0039,0.238469,534428629.93319
103.7656,0.860973,-0.268672,346.9453,0.280987,534428629.933207
103.8906,0.860973,-0.268672,346.6758,0.288579,534428629.949718
103.9688,0.860973,-0.268672,346.3477,0.29845,534428629.949806
104.0313,0.860973,-0.268672,345.9492,0.340742,534428629.949828
104.0938,0.860973,-0.268672,345.6211,0.35263,534428629.949846
104.1563,0.860973,-0.268672,345.082,0.362819,534428629.966526
104.1563,0.860973,-0.268672,344.6836,0.376993,534428629.966639
104.1563,0.860973,-0.268672,344.2852,0.393053,534428629.966664
104.1563,0.860973,-0.268672,343.957,0.40614,534428629.966684
104.1563,0.860973,-0.268672,343.5586,0.421172,534428629.983134
104.1563,0.860973,-0.268672,343.2305,0.435246,534428629.983212
104.1563,0.860973,-0.268672,342.8906,0.434486,534428629.983234
104.0938,0.860973,-0.268672,342.5625,0.44721,534428629.983258
103.9688,0.860973,-0.268672,342.293,0.459612,534428629.999621
103.8281,0.860973,-0.268672,342.0352,0.47321,534428629.999701
103.7031,0.860973,-0.268672,341.8359,0.48355,534428629.999721
103.5625,0.860973,-0.268672,341.6367,0.496112,534428629.999746
103.3594,0.860973,-0.268672,341.4375,0.508426,534428630.0163
103.2344,0.860973,-0.268672,341.2383,0.519826,534428630.016394
103.0313,0.860973,-0.268672,341.0391,0.530773,534428630.016412
102.8438,0.860973,-0.268672,340.8398,0.53847,534428630.016463
102.6406,0.860973,-0.268672,340.6406,0.552798,534428630.032909
102.4375,0.860973,-0.268672,340.3711,0.5527,534428630.032983
102.1719,0.860973,-0.268672,340.1719,0.56364,534428630.033008
101.9688,0.860973,-0.268672,339.9141,0.573208,534428630.033024
101.7031,0.860973,-0.268672,339.6445,0.551353,534428630.049774
101.5156,0.860973,-0.268672,339.375,0.56047,534428630.049853
101.25,0.860973,-0.268672,339.0469,0.571044,534428630.049886
101.0469,0.860973,-0.268672,338.7773,0.580342,534428630.049903
100.7188,0.860973,-0.268672,338.4492,0.575009,534428630.066203
100.5156,0.860973,-0.268672,338.25,0.583037,534428630.06628
100.1875,0.860973,-0.268672,337.9805,0.591506,534428630.066304
99.8438,0.860973,-0.268672,337.7227,0.595717,534428630.066327
99.5781,0.860973,-0.268672,337.5234,0.603702,534428630.082805
99.1875,0.860973,-0.268672,337.3242,0.610619,534428630.082889
98.7813,0.860973,-0.268672,337.125,0.615286,534428630.08291
98.3906,0.860973,-0.268672,336.9844,0.606012,534428630.082929
97.8594,0.860973,-0.268672,336.8555,0.61122,534428630.099773
97.3906,0.860973,-0.268672,336.7266,0.616986,534428630.09985
96.8594,0.860973,-0.268672,336.5859,0.604247,534428630.09987
96.4063,0.860973,-0.268672,336.5273,0.609114,534428630.09989
95.7969,0.860973,-0.268672,336.457,0.61374,534428630.116191
95.2656,0.860973,-0.268672,336.3867,0.61852,534428630.116265
94.6719,0.860973,-0.268672,336.3867,0.613241,534428630.116284
94.1406,0.860973,-0.268672,336.3867,0.616438,534428630.116301
93.5469,0.860973,-0.268672,336.3867,0.621375,534428630.132894
92.9531,0.860973,-0.268672,336.3867,0.625558,534428630.132969
92.3594,0.860973,-0.268672,336.3867,0.608409,534428630.132987
91.75,0.860973,-0.268672,336.3867,0.611183,534428630.133003
91.0938,0.860973,-0.268672,336.3867,0.61139,534428630.149763
90.3594,0.860973,-0.268672,336.5859,0.612991,534428630.149842
89.7031,0.860973,-0.268672,336.8555,0.603727,534428630.149861
89.1094,0.860973,-0.268672,337.125,0.604785,534428630.149882
88.3125,0.860973,-0.268672,337.582,0.603581,534428630.166383
87.7031,0.860973,-0.268672,337.9805,0.604189,534428630.166462
86.9844,0.860973,-0.268672,338.4492,0.612036,534428630.166481
86.1875,0.860973,-0.268672,339.0469,0.612423,534428630.166497
85.3906,0.860973,-0.268672,339.6445,0.61284,534428630.182886
84.6563,0.860973,-0.268672,340.3125,0.613312,534428630.182963
83.7969,0.860973,-0.268672,340.9688,0.608272,534428630.182981
83.0625,0.860973,-0.268672,341.6367,0.60876,534428630.183005
82.0625,0.860973,-0.268672,342.3633,0.597528,534428630.199459
81.0781,0.860973,-0.268672,343.2305,0.597612,534428630.199537
80.2031,0.860973,-0.268672,343.957,0.597685,534428630.199555
79.2188,0.860973,-0.268672,344.6836,0.59733,534428630.199571
78.0156,0.860973,-0.268672,345.6797,0.597119,534428630.216249
77.0938,0.860973,-0.268672,346.4063,0.597032,534428630.21633
76.0313,0.860973,-0.268672,347.3438,0.596425,534428630.216351
74.9063,0.860973,-0.268672,348.3398,0.59629,534428630.216367
73.9688,0.860973,-0.268672,349.1953,0.594925,534428630.23286
73.0469,0.860973,-0.268672,350.0625,0.594592,534428630.232937
71.9844,0.860973,-0.268672,350.918,0.594292,534428630.232956
71.125,0.860973,-0.268672,351.7852,0.59691,534428630.232972
70.125,0.860973,-0.268672,352.7813,0.595762,534428630.250129
69.125,0.860973,-0.268672,353.7773,0.595283,534428630.250207
68.3281,0.860973,-0.268672,354.6445,0.597227,534428630.250225
67.5313,0.860973,-0.268672,355.5703,0.596702,534428630.250278
66.5469,0.860973,-0.268672,356.7656,0.596525,534428630.266614
65.875,0.860973,-0.268672,357.6914,0.596105,534428630.266691
65.0781,0.860973,-0.268672,358.8164,0.602021,534428630.26671
64.3594,0.860973,-0.268672,360.0117,0.601989,534428630.266729
63.75,0.860973,-0.268672,361.1367,0.602622,534428630.283164
63.2188,0.860973,-0.268672,362.332,0.602891,534428630.283243
62.6875,0.860973,-0.268672,363.8672,0.6024,534428630.28326
62.2969,0.860973,-0.268672,364.9922,0.602633,534428630.283278
61.9688,0.860973,-0.268672,366.4453,0.60303,534428630.300282
61.625,0.860973,-0.268672,367.9805,0.603226,534428630.300363
61.5,0.860973,-0.268672,369.3047,0.603105,534428630.300383
61.3594,0.860973,-0.268672,370.6992,0.603518,534428630.3004
61.2969,0.860973,-0.268672,372.293,0.603831,534428630.316677
61.2969,0.860973,-0.268672,373.4883,0.599884,534428630.316755
61.2969,0.860973,-0.268672,374.8711,0.600092,534428630.316775
61.2969,0.860973,-0.268672,376.2656,0.600217,534428630.316791
