x,l,a,y,p,t
171.3125,1.066249,0.006947,206.4727,0.333333,534428678.421994
171.3125,1.066249,0.006947,206.4727,0.333333,534428678.452368
171.1094,1.066249,0.006947,206.4727,0.333333,534428678.452827
170.5156,1.066249,0.006947,206.4727,0.333333,534428678.487267
169.8438,1.066249,0.006947,206.4727,0.333333,534428678.51557
169.3906,1.066249,0.006947,206.4727,0.333333,534428678.51572
169.125,1.066249,0.006947,206.4727,0.333333,534428678.515755
168.9219,1.066249,0.006947,206.4141,0.333333,534428678.515787
168.7969,1.066249,0.006947,206.2734,0.333333,534428678.515858
168.7188,1.066249,0.006947,206.0156,0.333333,534428678.515897
168.6563,1.066249,0.006947,205.7461,0.333333,534428678.51593
168.5938,1.066249,0.006947,205.3477,0.333333,534428678.515982
168.5938,1.066249,0.006947,204.75,0.333333,534428678.516022
168.5938,1.066249,0.006947,204.1523,0.333333,534428678.516055
168.5938,1.066249,0.006947,203.2969,0.333333,534428678.516092
168.5938,1.066249,0.006947,202.4297,0.333333,534428678.516123
168.7969,1.066249,0.006947,201.4336,0.333333,534428678.516152
169.0469,1.066249,0.006947,200.3672,0.333333,534428678.516289
169.4531,1.066249,0.006947,199.1836,0.333333,534428678.516353
169.7813,1.066249,0.006947,197.9883,0.205668,534428678.516392
170.3125,1.066249,0.006947,196.4531,0.136094,534428678.516429
170.7813,1.066249,0.006947,195.0703,0.191166,534428678.516464
171.1719,1.066249,0.006947,193.8047,0.22221,534428678.516497
171.6406,1.066249,0.006947,192.2813,0.252635,534428678.530683
172.0469,1.066249,0.006947,190.8867,0.254183,534428678.531101
172.4375,1.066249,0.006947,189.2227,0.278544,534428678.531131
172.8438,1.066249,0.006947,187.6992,0.251997,534428678.531156
173.0313,1.066249,0.006947,186.5039,0.2605,534428678.53118
173.2344,1.066249,0.006947,184.9102,0.267753,534428678.531204
173.2969,1.066249,0.008183,183.3164,0.269766,534428678.540862
173.375,1.066249,0.011113,181.8633,0.274867,534428678.540974
173.375,1.066249,0.0127,180.668,0.272718,534428678.540997
173.375,1.066249,0.014699,179.0039,0.254626,534428678.556078
173.0313,1.066249,0.015431,177.8086,0.291958,534428678.5562
172.5781,1.066249,0.015858,176.4844,0.294967,534428678.556222
171.9688,1.066249,0.01595,175.1602,0.294837,534428678.556245
171.375,1.066249,0.015965,173.9648,0.297091,534428678.572725
170.7188,1.066249,0.016133,172.8398,0.296891,534428678.572816
169.7813,1.066249,0.017064,171.6445,0.298327,534428678.572876
169.125,1.066249,0.017827,170.7188,0.300785,534428678.572899
168.1875,1.066249,0.019093,169.6523,0.33313,534428678.589287
167.3281,1.066249,0.020924,168.6563,0.364176,534428678.589374
