x,l,a,y,p,t
59.8438,0.999538,0.379765,222.3984,0.333333,534428711.429803
59.8438,0.999538,0.379765,222.1406,0.333333,534428711.460305
59.4375,0.999538,0.379765,221.8711,0.333333,534428711.460756
58.8438,0.999538,0.379765,221.543,0.333333,534428711.487696
58.4531,0.999538,0.379765,221.2734,0.333333,534428711.487938
57.9844,0.999538,0.379765,220.9453,0.333333,534428711.488065
57.6563,0.999538,0.379765,220.7461,0.333333,534428711.488195
57.25,0.999538,0.379765,220.6758,0.333333,534428711.488618
56.8594,0.999538,0.379765,220.6055,0.333333,534428711.488768
56.4531,0.999538,0.379765,220.5469,0.333333,534428711.488872
56.0625,0.999538,0.379765,220.5469,0.333333,534428711.488957
55.6563,0.999538,0.379765,220.5469,0.333333,534428711.489035
55.2656,0.999538,0.379765,220.5469,0.333333,534428711.489118
54.7969,0.999538,0.379765,220.5469,0.333333,534428711.515776
54.4063,0.999538,0.379765,220.5469,0.333333,534428711.5159
53.7969,0.999538,0.379765,220.7461,0.333333,534428711.515952
53.2656,0.999538,0.379765,221.1445,0.333333,534428711.516005
52.5469,0.999538,0.379765,221.6719,0.333333,534428711.516074
51.8125,0.999538,0.379765,222.2695,0.333333,534428711.516123
50.75,0.999538,0.379765,223.2656,0.333333,534428711.516171
49.75,0.999538,0.379765,224.2617,0.484115,534428711.51623
48.5625,0.999538,0.379765,225.5156,0.342199,534428711.528592
47.2969,0.999538,0.379765,226.9102,0.268971,534428711.528699
45.9688,0.999538,0.379765,228.375,0.305507,534428711.528736
44.375,0.999538,0.379765,230.168,0.384079,534428711.528769
42.7188,0.999538,0.379765,232.0195,0.437537,534428711.528801
41.2031,0.999538,0.379765,233.8125,0.46383,534428711.528832
39.4063,0.999538,0.379765,236.0039,0.546062,534428711.543309
37.6719,0.999538,0.379765,238.1953,0.651354,534428711.543398
35.6875,0.999538,0.375798,240.9141,0.709441,534428711.543422
34.2344,0.999538,0.370076,243.0352,0.74894,534428711.543444
32.3125,0.999538,0.362889,246.0234,0.793584,534428711.56033
30.9844,0.999538,0.356785,248.2734,0.843179,534428711.560466
29.6563,0.999538,0.349904,250.8633,0.865409,534428711.560507
28.5156,0.999538,0.34258,253.125,0.878747,534428711.560529
27.5938,0.999538,0.336354,255.1758,0.942126,534428711.576829
26.7344,0.999538,0.328206,257.5664,0.967956,534428711.576951
26.0625,0.999538,0.321339,259.6875,0.990868,534428711.576974
25.6094,0.999538,0.316655,261.4102,1.020487,534428711.576995
25.2031,0.999538,0.312749,263.4023,1.050939,534428711.593376
24.9375,0.999538,0.309453,265.3359,1.079151,534428711.593484
24.7344,0.999538,0.30666,267.5156,1.104073,534428711.593514
24.6719,0.999538,0.304906,269.1797,1.103501,534428711.593567
24.6094,0.999385,0.303181,271.4297,1.127821,534428711.609718
24.6094,0.997447,0.300908,273.1641,1.149577,534428711.609821
24.6094,0.995967,0.297719,275.1563,1.141809,534428711.609845
24.6094,0.994991,0.294316,276.9375,1.131511,534428711.609861
24.8125,0.994609,0.289784,279.1992,1.121214,534428711.626796
25.1406,0.994609,0.286275,280.9922,1.135765,534428711.626868
25.7344,0.994609,0.281636,283.2422,1.121438,534428711.626912
26.2656,0.994609,0.278233,284.9648,1.104603,534428711.626928
27,0.994609,0.275029,286.957,1.123442,534428711.642972
27.8594,0.994609,0.27155,288.8203,1.133824,534428711.643052
28.9219,0.994609,0.26772,290.8711,1.129138,534428711.643071
29.7813,0.994609,0.264485,292.3359,1.137925,534428711.643086
31.0469,0.994609,0.259953,294.1875,1.14924,534428711.659246
32.1094,0.994609,0.256093,295.5234,1.131016,534428711.659328
33.3594,0.994609,0.251439,296.9766,1.114846,534428711.659347
34.6875,0.994609,0.245778,298.1719,1.120015,534428711.659366
36.1563,0.994609,0.240193,299.4375,1.127253,534428711.676426
37.5469,0.994609,0.234807,300.4336,1.131201,534428711.676504
39.0781,0.994609,0.229451,301.4297,1.137798,534428711.676523
40.5313,0.994609,0.224293,302.2266,1.14132,534428711.676539
42.0625,0.994609,0.219273,303.0234,1.149025,534428711.693236
43.5781,0.994609,0.214833,303.6094,1.118576,534428711.693322
45.1719,0.994609,0.21114,304.1484,1.122354,534428711.693341
46.7031,0.994609,0.208165,304.5469,1.123878,534428711.693358
48.5,0.994609,0.205968,304.875,1.132202,534428711.709525
50.1563,0.994609,0.203801,305.0742,1.134095,534428711.709603
51.9375,0.994609,0.202122,305.2031,1.137335,534428711.709621
53.6094,0.994609,0.201192,305.2031,1.137165,534428711.709638
55.4688,0.994609,0.200154,305.2031,1.139221,534428711.726438
57.25,0.994609,0.19965,305.2031,1.135592,534428711.726514
59.0469,0.994609,0.199101,305.1445,1.136853,534428711.726533
60.7031,0.994609,0.198811,304.7461,1.134672,534428711.726551
62.4219,0.994609,0.198018,304.0781,1.160428,534428711.743235
64.0938,0.994609,0.197072,303.3516,1.186909,534428711.743318
66.0156,0.994609,0.196309,302.2266,1.189989,534428711.743338
67.4688,0.994609,0.196309,301.2305,1.19584,534428711.743355
69.4688,0.994609,0.196309,299.5664,1.199437,534428711.75952
71.125,0.994609,0.196309,297.9727,1.205691,534428711.759655
72.7188,0.994609,0.196309,296.4492,1.176951,534428711.759676
74.4375,0.994609,0.196309,294.5273,1.171958,534428711.759694
76.0938,0.994609,0.196309,292.6055,1.175316,534428711.776716
77.625,0.994609,0.196309,290.7422,1.179514,534428711.776797
79.0156,0.994609,0.196309,288.8203,1.154895,534428711.776823
80.0781,0.994609,0.196309,287.2969,1.156557,534428711.77684
81.2656,0.99586,0.196309,285.3047,1.156916,534428711.793283
82.2656,0.998439,0.196309,283.5117,1.158552,534428711.79336
83.3281,1.000957,0.196309,281.4492,1.173271,534428711.793379
83.9219,1.0032,0.196309,279.9258,1.173925,534428711.793397
84.5938,1.005245,0.196309,278.0742,1.173086,534428711.809773
85.0469,1.006984,0.196309,276.2813,1.192606,534428711.809855
85.4531,1.008434,0.196309,274.418,1.194449,534428711.809873
85.6563,1.009578,0.196309,272.625,1.194361,534428711.809889
85.7813,1.010326,0.196309,270.4453,1.194577,534428711.827015
85.8438,1.010845,0.196309,268.6523,1.200412,534428711.827099
85.8438,1.011012,0.196309,266.3203,1.203719,534428711.827132
85.8438,1.011058,0.196309,264.5977,1.206011,534428711.827173
85.7813,1.011058,0.196309,262.4063,1.210844,534428711.843368
85.3906,1.011058,0.196309,260.3555,1.197662,534428711.843447
84.7813,1.011058,0.196309,257.9648,1.200928,534428711.843464
84.3281,1.011058,0.196309,256.3125,1.203646,534428711.843481
83.5938,1.011058,0.196309,253.9805,1.20078,534428711.859786
82.9375,1.011058,0.196309,252.2578,1.203474,534428711.859865
82.0625,1.011058,0.196309,250.2656,1.206507,534428711.859883
81.2656,1.011058,0.196309,248.4727,1.209132,534428711.859899
80.1406,1.011058,0.196309,246.3516,1.198139,534428711.876166
79.2813,1.011058,0.196309,244.7578,1.199708,534428711.876246
78.0938,1.011058,0.196309,242.7656,1.198232,534428711.876264
77.2188,1.011058,0.196309,241.3125,1.229307,534428711.876281
76.0938,1.011058,0.196309,239.5898,1.260589,534428711.892861
75.0313,1.011058,0.196309,238.0547,1.262619,534428711.892938
73.9688,1.011058,0.196309,236.5313,1.264604,534428711.892957
72.9063,1.011058,0.196309,235.1367,1.266625,534428711.892972
71.7188,1.011058,0.196309,233.6836,1.270396,534428711.909986
70.6563,1.011058,0.196309,232.3594,1.27267,534428711.910059
69.5313,1.011058,0.196309,231.2227,1.281334,534428711.910078
68.3281,1.011058,0.196309,230.0273,1.284244,534428711.910095
67.0781,1.011058,0.196309,228.9727,1.297779,534428711.926781
65.875,1.011058,0.196309,227.9766,1.301642,534428711.926856
64.6875,1.011058,0.196309,227.0508,1.343244,534428711.926875
