x,l,a,y,p,t
64.625,0.730083,0.571812,100.5117,0.333333,534428768.856241
63.4219,0.730083,0.571812,100.2539,0.333333,534428768.873559
62.5,0.730083,0.571812,99.9141,0.333333,534428768.887569
61.7656,0.730083,0.571812,99.6563,0.333333,534428768.887672
61.2344,0.730083,0.571812,99.3867,0.333333,534428768.887745
60.5781,0.730083,0.571812,99.1875,0.333333,534428768.887779
59.9688,0.730083,0.571812,99.0586,0.333333,534428768.887813
59.375,0.730083,0.571812,98.9883,0.333333,534428768.887842
58.8438,0.730083,0.571812,98.9883,0.333333,534428768.887866
58.25,0.730083,0.571812,98.9883,0.403646,534428768.896786
57.6563,0.730083,0.571812,99.0586,0.465625,534428768.896879
56.9844,0.730083,0.571812,99.5859,0.498958,534428768.89695
56.4531,0.730083,0.571812,100.0547,0.462771,534428768.917705
55.6563,0.730083,0.571812,100.7813,0.458421,534428768.917801
55,0.730083,0.571812,101.5078,0.454072,534428768.917826
54.2656,0.730083,0.571812,102.4336,0.488431,534428768.917848
53.5313,0.730083,0.571812,103.4297,0.509047,534428768.917869
52.875,0.730083,0.571812,104.4961,0.543407,534428768.949148
52.2031,0.730083,0.571812,105.6211,0.442339,534428768.949227
51.4219,0.730083,0.571812,107.0156,0.397965,534428768.949246
50.8125,0.730083,0.571812,108.3398,0.381937,534428768.949262
50.1563,0.730083,0.571812,110.0039,0.365485,534428768.949278
49.625,0.730083,0.571812,111.5977,0.346834,534428768.949294
49.0938,0.730083,0.571812,113.3906,0.355629,534428768.94931
48.625,0.730083,0.571812,115.1133,0.335829,534428768.949325
48.1563,0.730083,0.571812,117.2344,0.361126,534428768.96673
47.8906,0.730083,0.571812,118.8984,0.361227,534428768.966807
47.7031,0.730083,0.571812,120.75,0.364297,534428768.966825
47.5625,0.730083,0.571812,122.4141,0.362872,534428768.966842
47.5625,0.730083,0.571812,124.207,0.379222,534428768.983279
47.5625,0.730083,0.571812,125.7891,0.382856,534428768.983355
47.5625,0.730083,0.571812,127.3242,0.386012,534428768.983374
47.8281,0.730083,0.571812,128.5195,0.393662,534428768.98339
48.5,0.730083,0.571812,130.2422,0.398734,534428768.999624
49.2188,0.730083,0.571812,131.5664,0.412161,534428768.999774
50.2188,0.730083,0.571812,132.9609,0.417514,534428768.999802
51.2188,0.730083,0.571812,134.1563,0.441897,534428768.99982
52.4688,0.730083,0.571812,135.4805,0.448587,534428769.016503
53.7969,0.730083,0.571812,136.6055,0.45841,534428769.016583
55.3281,0.730083,0.571812,137.7422,0.44262,534428769.0166
56.8594,0.730083,0.571812,138.7383,0.424721,534428769.016618
58.5156,0.730083,0.571812,139.6641,0.430143,534428769.033407
60.1719,0.730083,0.571812,140.4609,0.432199,534428769.033485
61.8281,0.732555,0.571812,141.1172,0.408623,534428769.03351
63.4219,0.735545,0.571812,141.6563,0.382746,534428769.033527
65.2188,0.738277,0.571812,141.9844,0.382742,534428769.04973
66.9375,0.74084,0.571812,142.1133,0.384314,534428769.049808
68.7969,0.743327,0.571812,142.1133,0.355236,534428769.049826
70.5156,0.745891,0.571812,142.1133,0.35262,534428769.049842
72.5781,0.748729,0.571812,141.5859,0.351871,534428769.066586
74.1719,0.751582,0.571812,140.918,0.339371,534428769.066668
75.8906,0.754543,0.571812,139.9219,0.336372,534428769.066685
77.4844,0.757625,0.571812,138.8672,0.330752,534428769.066702
79.2813,0.76089,0.571812,137.4023,0.32414,534428769.083721
80.5469,0.763957,0.571812,136.0781,0.321601,534428769.083792
82.0625,0.766979,0.571812,134.2266,0.316887,534428769.08381
83.0625,0.76971,0.571812,132.7617,0.3126,534428769.083827
84.2656,0.772197,0.571812,130.7695,0.306238,534428769.099769
85.3125,0.774471,0.571812,128.5781,0.305778,534428769.099852
86.25,0.776271,0.571812,126.2578,0.301551,534428769.09987
86.9063,0.777599,0.571812,124.0078,0.296167,534428769.099888
87.6406,0.778194,0.571812,120.9492,0.277367,534428769.116565
87.9688,0.778209,0.571812,118.3594,0.273109,534428769.116644
88.3125,0.778209,0.571812,115.1836,0.267829,534428769.116662
88.375,0.778209,0.571812,112.1953,0.26358,534428769.116678
88.375,0.778209,0.571812,108.4102,0.274545,534428769.133177
88.2344,0.778209,0.571812,105.1641,0.270379,534428769.133259
87.5156,0.778209,0.571812,101.8359,0.266417,534428769.133276
86.7188,0.778209,0.571812,99.1875,0.298122,534428769.133293
85.5781,0.778209,0.571812,96.0703,0.329953,534428769.149784
84.3281,0.778209,0.571812,93.5508,0.327906,534428769.149866
82.8594,0.778209,0.571812,91.3594,0.327481,534428769.149885
81.6094,0.778209,0.571812,90.0352,0.411347,534428769.149903
79.875,0.778209,0.571812,88.8984,0.457383,534428769.166506
78.2188,0.778209,0.571812,88.3711,0.503418,534428769.166583
76.5,0.778209,0.571812,88.3711,0.542949,534428769.166601
74.7656,0.778209,0.571812,88.3711,0.579759,534428769.166617
72.5781,0.778209,0.571812,89.5664,0.597187,534428769.183385
70.7188,0.778209,0.571812,90.9609,0.610274,534428769.183466
68.8594,0.778209,0.571812,92.6836,0.605094,534428769.183484
67.2031,0.778209,0.571812,94.4063,0.621012,534428769.183501
65.5469,0.778209,0.571812,96.5391,0.653437,534428769.19966
64.2188,0.778209,0.571812,98.5898,0.67177,534428769.199742
63.0938,0.778209,0.571812,100.6523,0.576657,534428769.19976
62.4219,0.778209,0.571812,102.3047,0.535637,534428769.199776
61.8906,0.778209,0.571812,104.2969,0.521028,534428769.216322
61.7656,0.778209,0.571812,106.0195,0.346802,534428769.216408
61.7656,0.778209,0.571812,107.543,0.253037,534428769.216425
62.1563,0.778209,0.571812,109.0781,0,534428769.216979
112.3906,0.747157,0.560551,105.8906,0.333333,534428769.955321
112.3281,0.747157,0.560551,105.6211,0.333333,534428769.988956
111.8594,0.747157,0.560551,104.7656,0.333333,534428770.019338
111.8594,0.747157,0.560551,104.168,0.333333,534428770.031998
111.8594,0.747157,0.560551,103.5703,0.333333,534428770.032106
112.0625,0.747157,0.560551,103.0313,0.333333,534428770.032196
112.3281,0.747157,0.560551,102.6328,0.333333,534428770.03223
112.5938,0.747157,0.560551,102.4336,0.333333,534428770.032267
112.9844,0.747157,0.560551,102.1758,0.333333,534428770.032305
113.4531,0.747157,0.560551,101.9766,0.333333,534428770.032343
113.9844,0.747157,0.560551,101.707,0.333333,534428770.032381
114.4531,0.747157,0.560551,101.5078,0.333333,534428770.032417
115.0469,0.747157,0.560551,101.25,0.333333,534428770.032454
115.6406,0.747157,0.560551,100.9805,0.333333,534428770.032488
116.375,0.747157,0.560551,100.7109,0.333333,534428770.032523
117.1719,0.747157,0.560551,100.3828,0.333333,534428770.032559
118.0938,0.747157,0.560551,100.0547,0.333333,534428770.032594
119.0313,0.747157,0.560551,99.6563,0.378328,534428770.032636
