x,l,a,y,p,t
67.3438,0.768092,0.149098,274.2891,0.333333,534428801.484658
67.2656,0.768092,0.149098,274.0898,0.333333,534428801.531193
67,0.768092,0.149098,273.8906,0.333333,534428801.531354
66.7344,0.768092,0.149098,273.7617,0.333333,534428801.531443
66.4688,0.768092,0.149098,273.6211,0.333333,534428801.531511
66.2813,0.768092,0.149098,273.4922,0.333333,534428801.531584
66.0156,0.768092,0.149098,273.3633,0.333333,534428801.531791
65.75,0.768092,0.149098,273.2227,0.333333,534428801.531871
65.4219,0.768092,0.149098,273.0938,0.333333,534428801.532661
65.1563,0.768092,0.149098,272.9648,0.333333,534428801.553599
64.8906,0.768092,0.149098,272.8242,0.333333,534428801.553859
64.5469,0.768092,0.149098,272.7656,0.333333,534428801.553899
64.2188,0.768092,0.149098,272.6953,0.333333,534428801.553926
63.9531,0.768092,0.149098,272.5664,0.333333,534428801.553953
63.5625,0.768092,0.149098,272.4961,0.333333,534428801.554012
63.1563,0.768092,0.149098,272.4258,0.31664,534428801.554037
62.6875,0.768092,0.149098,272.4258,0.299946,534428801.554062
62.2969,0.768092,0.149098,272.4258,0.339261,534428801.573299
61.7656,0.768092,0.149098,272.4258,0.354768,534428801.573524
61.2969,0.768092,0.149098,272.4258,0.377155,534428801.573552
60.7656,0.768092,0.149098,272.4258,0.397023,534428801.573577
60.2344,0.768092,0.149098,272.5664,0.408944,534428801.573599
59.6406,0.768092,0.149098,272.8945,0.428813,534428801.5899
59.0469,0.768092,0.149098,273.1641,0.45854,534428801.590117
58.5156,0.768092,0.149098,273.5625,0.474225,534428801.59015
57.9844,0.768092,0.149098,273.9609,0.493884,534428801.590181
57.4531,0.768092,0.149098,274.418,0.514546,534428801.608139
56.9844,0.768092,0.149098,274.8867,0.554413,534428801.608228
56.5156,0.768092,0.149098,275.4844,0.572279,534428801.608254
56.125,0.768092,0.149098,276.0117,0.594079,534428801.608278
55.6563,0.768092,0.149098,276.6094,0.612762,534428801.623806
55.3281,0.768092,0.149098,277.207,0.601588,534428801.623885
55,0.768092,0.149098,277.8047,0.624801,534428801.623937
54.6719,0.768092,0.149098,278.5313,0.613682,534428801.623964
54.4063,0.768092,0.149098,279.1289,0.610978,534428801.637494
54.2031,0.768092,0.149098,279.8672,0.62638,534428801.63757
53.9375,0.768092,0.149098,280.8516,0.64271,534428801.637592
53.7969,0.768092,0.149098,281.6484,0.631302,534428801.655458
53.6094,0.768092,0.149098,282.7852,0.623241,534428801.65555
53.4688,0.768092,0.149098,283.8398,0.634142,534428801.655571
53.3438,0.768092,0.149098,285.3047,0.646715,534428801.655589
53.2031,0.768092,0.149098,286.4297,0.6541,534428801.655605
53.0781,0.768092,0.149098,288.1523,0.665645,534428801.672475
52.9375,0.768092,0.149098,289.6758,0.669705,534428801.672563
52.875,0.768092,0.149098,291.3398,0.681899,534428801.672583
52.8125,0.768092,0.149098,292.9336,0.701205,534428801.672599
52.7344,0.768092,0.149098,294.7852,0.712371,534428801.688761
52.7344,0.768092,0.149098,296.5195,0.717267,534428801.688873
52.7344,0.768092,0.149098,298.3125,0.749621,534428801.688895
52.7344,0.768092,0.149098,299.8945,0.758948,534428801.688914
52.7344,0.768092,0.149098,301.6875,0.77055,534428801.704993
52.7344,0.768092,0.149098,303.2227,0.771643,534428801.70511
52.9375,0.768092,0.149098,304.7461,0.781669,534428801.705129
53.2031,0.768092,0.149098,305.8711,0.793107,534428801.705148
53.6094,0.768092,0.149098,307.1953,0.803578,534428801.721949
54.0625,0.768092,0.149098,308.3203,0.81711,534428801.722092
54.6719,0.768092,0.149098,309.3164,0.830938,534428801.722128
55.2031,0.768092,0.149098,310.1836,0.844113,534428801.722148
55.9219,0.768092,0.149098,310.9805,0.858792,534428801.738803
56.5938,0.768092,0.149098,311.5781,0.807652,534428801.73889
57.3906,0.768092,0.149098,312.1055,0.785671,534428801.738908
58.1875,0.768092,0.149098,312.5039,0.761115,534428801.73893
59.1094,0.768092,0.149098,312.832,0.769064,534428801.755367
60.0469,0.768092,0.149098,313.0313,0.769732,534428801.755474
60.9688,0.768092,0.149098,313.1016,0.775035,534428801.755494
61.8906,0.768092,0.149098,313.1016,0.769682,534428801.755512
62.8906,0.768092,0.149098,313.1016,0.739988,534428801.771794
63.8906,0.768092,0.149098,313.1016,0.703307,534428801.771875
64.8906,0.768092,0.149098,312.9727,0.696484,534428801.771891
65.8125,0.768092,0.149098,312.5742,0.694933,534428801.771908
66.875,0.768092,0.149098,312.0469,0.692347,534428801.788345
67.7969,0.768092,0.149098,311.5078,0.68162,534428801.788461
68.7969,0.768092,0.149098,310.8516,0.678392,534428801.788482
69.7344,0.768092,0.149098,310.1133,0.66926,534428801.788506
70.7188,0.768092,0.149098,309.3164,0.66337,534428801.805286
71.6563,0.768092,0.149098,308.4609,0.658953,534428801.805397
72.5781,0.768092,0.149098,307.5352,0.654537,534428801.805416
73.4375,0.768092,0.149098,306.668,0.649079,534428801.805433
74.375,0.769374,0.149098,305.543,0.64461,534428801.822832
75.0938,0.77148,0.149098,304.6758,0.640026,534428801.822909
75.8281,0.773647,0.149098,303.6797,0.637107,534428801.822927
76.5625,0.775844,0.149098,302.6836,0.632844,534428801.822944
77.3594,0.778087,0.149098,301.4883,0.631715,534428801.838416
77.9531,0.780238,0.149098,300.4922,0.627743,534428801.838507
78.625,0.782329,0.149098,299.3672,0.646677,534428801.838526
79.1563,0.784343,0.149098,298.2422,0.671417,534428801.83855
79.6875,0.786189,0.149098,296.9766,0.670537,534428801.855463
80.1406,0.787868,0.149098,295.7227,0.668949,534428801.855556
80.6719,0.789333,0.149098,294.3281,0.668857,534428801.855574
81,0.790599,0.149098,293.2617,0.66749,534428801.855607
81.2656,0.791667,0.149098,292.0078,0.669997,534428801.871731
81.4688,0.792461,0.149098,290.8711,0.63933,534428801.871823
81.6094,0.793056,0.149098,289.6758,0.608031,534428801.871843
81.6719,0.793498,0.149098,288.5508,0.605162,534428801.871863
81.6719,0.793742,0.149098,287.3555,0.600785,534428801.888746
81.6719,0.793941,0.149098,286.1602,0.597603,534428801.888841
81.6719,0.794017,0.149098,284.9648,0.589942,534428801.888869
81.4063,0.794048,0.149098,283.7813,0.586105,534428801.888885
81.0781,0.794048,0.149098,282.5156,0.573312,534428801.905961
80.6719,0.794048,0.149098,281.25,0.607531,534428801.906043
80.1406,0.794048,0.149098,279.9961,0.603201,534428801.906065
79.75,0.794048,0.149098,278.8711,0.599242,534428801.906085
79.2813,0.794048,0.149098,277.6758,0.594967,534428801.922285
78.8125,0.794048,0.149098,276.6797,0.590943,534428801.922396
78.4844,0.794048,0.149098,275.7422,0.58752,534428801.922419
78.0156,0.794048,0.149098,274.7578,0.594943,534428801.922476
77.4844,0.794048,0.149098,273.8906,0.609236,534428801.93953
77.0313,0.794048,0.149098,273.1641,0.607472,534428801.939616
76.5,0.794048,0.149098,272.4258,0.608893,534428801.939638
76.0313,0.794048,0.149098,271.8984,0.607762,534428801.939658
75.3594,0.794048,0.149098,271.3008,0.61134,534428801.955447
74.7031,0.794048,0.149098,270.832,0.610894,534428801.955522
73.8438,0.794048,0.149098,270.375,0.613992,534428801.95554
73.0469,0.794048,0.149098,270.1055,0.613929,534428801.955557
72.1094,0.794048,0.149098,269.8477,0.614583,534428801.972101
71.25,0.794048,0.149098,269.6484,0.614583,534428801.972181
70.4531,0.794048,0.149098,269.5078,0.644858,534428801.972202
69.6563,0.794048,0.149098,269.4492,0.67928,534428801.972224
68.7969,0.794048,0.149098,269.4492,0.715437,534428801.989139
68.0625,0.794048,0.149098,269.4492,0.72028,534428801.989238
67.3438,0.794048,0.149098,269.4492,0.709849,534428801.989255
66.7344,0.794048,0.149098,269.4492,0.7149,534428801.989271
66.2031,0.794048,0.149098,269.4492,0.722443,534428802.005513
65.8125,0.794048,0.149098,269.5781,0.727858,534428802.005638
65.4844,0.794048,0.149098,269.7773,0.710357,534428802.005661
65.2188,0.794048,0.149098,269.9766,0.692856,534428802.005679
65.0156,0.794048,0.149098,270.2461,0.696097,534428802.022071
64.9531,0.794048,0.149098,270.4453,0.596037,534428802.022181
64.9531,0.794048,0.149098,270.6328,0.541068,534428802.022206
64.9531,0.794048,0.149098,270.9023,0.512349,534428802.022253
64.9531,0.794048,0.149098,271.1016,0.472081,534428802.039076
64.9531,0.794048,0.149098,271.2305,0.331608,534428802.039164
65.2188,0.794048,0.149098,271.4297,0.246835,534428802.039183
65.4844,0.794048,0.149098,271.5,0.195158,534428802.039201
66.0781,0.794048,0.149098,271.8984,0,534428802.039795
105.2188,0.821498,0.156377,283.1836,0.333333,534428802.763108
105.1563,0.821498,0.156377,283.2422,0.333333,534428802.802294
104.9531,0.821498,0.156377,283.3828,0.333333,534428802.802756
104.7656,0.821498,0.156377,283.5117,0.333333,534428802.802949
104.625,0.821498,0.156377,283.6406,0.333333,534428802.803107
104.5,0.821498,0.156377,283.7813,0.333333,534428802.826802
104.3594,0.821498,0.156377,283.9102,0.333333,534428802.82728
104.2344,0.821498,0.156377,284.1094,0.231345,534428802.827749
104.1563,0.821498,0.156377,284.2383,0.184064,534428802.827812
104.0313,0.821498,0.156377,284.4375,0.164136,534428802.827912
103.9688,0.821498,0.156377,284.6367,0.146065,534428802.828005
103.8906,0.821498,0.156377,284.8359,0.200979,534428802.858968
103.8906,0.821498,0.156377,285.0352,0.255893,534428802.859099
103.8281,0.821498,0.156377,285.2344,0.271546,534428802.859192
103.8281,0.821498,0.156377,285.3633,0.311878,534428802.859243
103.8281,0.821498,0.156377,285.5039,0.352211,534428802.859293
103.8281,0.821498,0.156377,285.5625,0.376154,534428802.859366
103.8281,0.821498,0.156377,285.7031,0.411227,534428802.859427
103.8281,0.821498,0.156377,285.7031,0.43744,534428802.859474
103.8281,0.821498,0.156377,285.7031,0.458411,534428802.859517
103.8281,0.821498,0.156377,285.7031,0.479382,534428802.85956
103.8281,0.821498,0.156377,285.7031,0.500352,534428802.8596
103.8281,0.821498,0.156377,285.7031,0.526566,534428802.892257
103.8281,0.821498,0.156377,285.7031,0.547537,534428802.892364
104.0313,0.821498,0.156377,285.4336,0.568507,534428802.892397
104.2969,0.821498,0.156377,285.1055,0.564473,534428802.892429
104.7656,0.821498,0.156377,284.4375,0.587941,534428802.892463
105.1563,0.821498,0.156377,283.7109,0.609888,534428802.892499
105.75,0.821498,0.156377,282.8438,0.570295,534428802.892534
106.4219,0.821498,0.156377,281.7891,0.552573,534428802.892572
107.0781,0.821498,0.156377,280.7227,0.538398,534428802.909406
107.75,0.821498,0.156377,279.5273,0.553975,534428802.909499
108.6094,0.821498,0.156377,278.1328,0.513802,534428802.909526
109.2031,0.821498,0.156377,277.0781,0.495496,534428802.909551
110,0.821498,0.156377,275.8125,0.470119,534428802.925096
110.6719,0.821498,0.156377,274.6875,0.446132,534428802.925184
111.3906,0.821498,0.156377,273.6211,0.41654,534428802.925206
111.9219,0.821498,0.156377,272.6953,0.418792,534428802.925228
112.5313,0.821498,0.156377,271.7695,0.411672,534428802.940547
112.9844,0.821498,0.156377,271.1719,0.414107,534428802.940618
