x,l,a,y,p,t
19.4375,0.722942,0.40424,388.9453,0.333333,534428837.179334
19.1719,0.72932,0.40424,389.0039,0.333333,534428837.211044
18.6406,0.733898,0.40424,389.0039,0.333333,534428837.242788
18.1719,0.736934,0.40424,389.1445,0.333333,534428837.24348
17.8438,0.738979,0.40424,389.3438,0.333333,534428837.272987
17.5781,0.740367,0.40424,389.6016,0.333333,534428837.273126
17.375,0.741237,0.40424,389.9414,0.333333,534428837.273176
17.1719,0.741954,0.40424,390.2695,0.333333,534428837.273219
17.0469,0.742534,0.40424,390.668,0.333333,534428837.273297
16.9063,0.74464,0.40424,391.1367,0.333333,534428837.273355
16.9063,0.746166,0.40424,391.5938,0.333333,534428837.273389
16.8438,0.747173,0.40424,391.9336,0.333333,534428837.273419
16.8438,0.747722,0.40424,392.2617,0.333333,534428837.27345
16.8438,0.74792,0.40424,392.4609,0.333333,534428837.273485
16.8438,0.74792,0.40424,392.6602,0.333333,534428837.273534
16.8438,0.74792,0.40424,392.6602,0.333333,534428837.273567
16.8438,0.74792,0.40424,392.6602,0.333333,534428837.273596
16.9844,0.74792,0.40424,392.6602,0.333333,534428837.273628
17.25,0.74792,0.40424,392.6602,0.333333,534428837.273659
17.5156,0.74792,0.40424,392.5898,0.333333,534428837.273692
17.7813,0.74792,0.40424,392.3906,0.333333,534428837.273747
18.0469,0.74792,0.40424,392.1328,0.333333,534428837.27378
18.2344,0.74792,0.40424,391.9336,0.333333,534428837.273918
18.375,0.74792,0.40424,391.7344,0.468149,534428837.273963
18.5,0.74792,0.40424,391.6641,0.456006,534428837.285922
18.5781,0.74792,0.40424,391.5938,0.492514,534428837.286067
18.5781,0.74792,0.40424,391.5352,0.571174,534428837.286107
18.5781,0.74792,0.40424,391.5352,0.61705,534428837.286141
18.5781,0.74792,0.40424,391.5352,0.698299,534428837.286176
18.5781,0.748012,0.40424,391.5352,0.748234,534428837.286206
18.4375,0.748226,0.40424,391.5352,0.810185,534428837.296887
18.3125,0.748317,0.40424,391.5352,0.825816,534428837.297211
18.1719,0.748317,0.40424,391.5352,0.870848,534428837.29724
18.1094,0.748317,0.40424,391.5352,0.895297,534428837.308656
18.1094,0.748317,0.40424,391.5352,0.932116,534428837.308782
18.1094,0.748317,0.40424,391.4648,0.910066,534428837.30882
18.1094,0.748317,0.40424,391.1953,0.920475,534428837.326904
18.1094,0.748317,0.40424,390.7969,0.926789,534428837.326987
18.2344,0.748317,0.40424,390.2695,0.953651,534428837.327017
18.5781,0.748317,0.40424,389.6719,0.980512,534428837.327037
19.0313,0.748317,0.40424,388.8047,1.008127,534428837.343252
19.4375,0.748317,0.40424,388.0078,1.03509,534428837.343374
19.8281,0.748317,0.40424,387.2227,0.98858,534428837.343404
