x,l,a,y,p,t
51.2188,0.862697,0.547963,362.2734,0.333333,534428880.334538
51.2188,0.862697,0.547963,362.1328,0.333333,534428880.370139
51.2188,0.862697,0.547963,361.8047,0.333333,534428880.370285
51.2188,0.862697,0.547963,361.4063,0.333333,534428880.37036
51.2188,0.862697,0.547963,361.0078,0.333333,534428880.370649
51.2188,0.862697,0.547963,360.6094,0.333333,534428880.370739
51.2188,0.862697,0.547963,360.2813,0.333333,534428880.385401
51.2188,0.862697,0.547963,359.9414,0.333333,534428880.385545
51.2188,0.862697,0.547963,359.6836,0.333333,534428880.385647
51.2188,0.862697,0.547963,359.4141,0.307448,534428880.385698
51.1563,0.862697,0.547963,359.1563,0.305863,534428880.385789
51.0781,0.862697,0.547963,359.0859,0.309958,534428880.396766
51.0156,0.862697,0.547963,359.0156,0.332674,534428880.396896
50.8906,0.862697,0.547963,358.957,0.290418,534428880.396924
50.75,0.862697,0.547963,358.957,0.276118,534428880.39695
50.4844,0.862697,0.547963,358.957,0.261818,534428880.414984
50.2813,0.862697,0.547963,359.0859,0.280095,534428880.415115
49.9531,0.862697,0.547963,359.5547,0.295602,534428880.415154
49.4219,0.862697,0.547963,360.0117,0.304907,534428880.415187
49.0313,0.862697,0.547963,360.5391,0.320414,534428880.43092
48.5,0.862697,0.547963,361.2773,0.34925,534428880.431039
47.9688,0.862697,0.547963,362.0039,0.361957,534428880.431058
47.4375,0.862697,0.547963,362.6719,0.374665,534428880.431078
46.7656,0.862697,0.547963,363.4688,0.379078,534428880.447709
46.1719,0.862697,0.547963,364.2656,0.390545,534428880.447796
45.5156,0.862697,0.547963,365.1211,0.402899,534428880.447818
44.9063,0.862697,0.547963,365.9883,0.414641,534428880.447887
44.1094,0.862697,0.547963,366.9141,0.428633,534428880.464359
43.3906,0.862697,0.547963,367.8398,0.440806,534428880.464448
42.5938,0.862697,0.547963,368.8359,0.458216,534428880.464471
41.7344,0.862697,0.547963,369.832,0.447594,534428880.464506
40.9375,0.862697,0.547963,370.6992,0.442164,534428880.480826
40.2031,0.862697,0.547963,371.6953,0.453531,534428880.480907
39.4063,0.862697,0.547963,372.6914,0.465042,534428880.480926
38.7344,0.862697,0.547963,373.5469,0.476436,534428880.480942
38.0781,0.862697,0.547963,374.543,0.485101,534428880.497241
37.5469,0.862697,0.547963,375.4102,0.495756,534428880.497383
37.0781,0.862697,0.547963,376.4063,0.530335,534428880.49742
36.6875,0.862697,0.547963,377.4609,0.538222,534428880.497438
36.3594,0.862697,0.547963,378.457,0.547944,534428880.514034
36.0938,0.862697,0.547963,379.3828,0.558388,534428880.514116
35.8281,0.862697,0.547963,380.3203,0.54573,534428880.514137
35.6875,0.862697,0.547963,381.4453,0.553203,534428880.514154
35.5625,0.862697,0.547963,382.5703,0.565998,534428880.530452
35.4219,0.862697,0.547963,383.6953,0.576061,534428880.530528
35.3594,0.862697,0.547963,384.832,0.543412,534428880.530546
35.2188,0.862697,0.547963,385.8867,0.552157,534428880.530562
35.2188,0.862697,0.547963,387.082,0.563042,534428880.547316
35.1563,0.862697,0.547963,388.5469,0.549379,534428880.547397
35.1563,0.862697,0.547963,389.6719,0.556726,534428880.547415
35.1563,0.862697,0.547963,390.7969,0.560102,534428880.547431
35.1563,0.864116,0.547963,392.0625,0.566587,534428880.563847
35.1563,0.866481,0.547963,393.1875,0.548537,534428880.563927
35.1563,0.869075,0.547963,394.3828,0.531294,534428880.563944
35.2188,0.869869,0.547963,395.5781,0.527736,534428880.563958
35.4844,0.869869,0.547963,396.6445,0.530104,534428880.580198
35.8281,0.869869,0.547963,397.6289,0.520172,534428880.580276
36.2188,0.869869,0.547963,398.6953,0.520511,534428880.580294
36.6875,0.869869,0.547963,399.6211,0.517909,534428880.580309
37.2188,0.869869,0.547963,400.6172,0.527302,534428880.597005
37.75,0.869869,0.547963,401.5547,0.526173,534428880.597085
38.3438,0.869869,0.547963,402.4805,0.525655,534428880.597103
38.875,0.869869,0.547764,403.3359,0.5247,534428880.597122
39.4688,0.869869,0.544835,404.332,0.563037,534428880.61369
40.0625,0.869869,0.5416,405.1289,0.56429,534428880.613768
40.6719,0.869869,0.538106,405.9961,0.565359,534428880.613786
41.2656,0.869869,0.535161,406.7227,0.567641,534428880.613802
