x,l,a,y,p,t
38.8125,0.812908,0.928044,325.4414,0.333333,534428924.044134
38.6719,0.812908,0.928044,325.5117,0.333333,534428924.072512
38.4688,0.812908,0.928044,325.5117,0.333333,534428924.072658
38.2813,0.812908,0.928044,325.5117,0.333333,534428924.072824
38.2031,0.812908,0.928044,325.5117,0.333333,534428924.07299
38.0781,0.812908,0.928044,325.5117,0.333333,534428924.092491
37.9375,0.812908,0.928044,325.5117,0.333333,534428924.092647
37.8125,0.812908,0.928044,325.5117,0.333333,534428924.092676
37.6094,0.812908,0.928044,325.5117,0.333333,534428924.0927
37.4219,0.812908,0.928044,325.5117,0.19,534428924.092731
37.2188,0.812908,0.928044,325.5117,0.102179,534428924.101122
37.0156,0.812908,0.928044,325.582,0.051346,534428924.101212
36.75,0.812908,0.928044,325.6406,0.000513,534428924.101262
36.5469,0.812908,0.928044,325.7109,0.066862,534428924.101289
36.2813,0.812908,0.928044,325.7813,0.125748,534428924.119987
36.0938,0.812908,0.928044,325.8398,0.154487,534428924.120122
35.8281,0.812908,0.928044,325.9102,0.203581,534428924.120171
35.625,0.812908,0.928044,325.9805,0.229104,534428924.120266
35.3594,0.812908,0.928044,325.9805,0.254627,534428924.136206
35.0938,0.812908,0.928044,326.0391,0.256577,534428924.136335
34.8281,0.812908,0.928044,326.0391,0.293019,534428924.13636
34.5,0.812908,0.928044,326.1094,0.295843,534428924.136383
34.1563,0.812908,0.928044,326.1094,0.300551,534428924.152805
33.8281,0.812908,0.928044,326.1797,0.33617,534428924.152897
33.4375,0.812908,0.928044,326.1797,0.379417,534428924.152928
33.0313,0.812908,0.928044,326.2383,0.388683,534428924.152987
32.5781,0.812908,0.928044,326.2383,0.405749,534428924.169498
32.1094,0.812908,0.928044,326.2383,0.409137,534428924.169591
31.6406,0.812908,0.928044,326.2383,0.423534,534428924.169653
31.1719,0.812908,0.928044,326.3086,0.435715,534428924.169674
30.6406,0.812908,0.928044,326.3086,0.453606,534428924.185531
30.1094,0.812908,0.928044,326.3086,0.434562,534428924.185624
29.5781,0.812908,0.928044,326.3086,0.451095,534428924.185643
29.0469,0.812908,0.928044,326.3086,0.460526,534428924.18566
28.5156,0.812908,0.928044,326.3086,0.476389,534428924.201665
28,0.812908,0.928044,326.3086,0.446961,534428924.201747
27.4688,0.812908,0.928044,326.3086,0.456111,534428924.201765
26.9375,0.812908,0.928044,326.3086,0.466423,534428924.20178
26.3281,0.812908,0.928044,326.3789,0.456045,534428924.218102
25.7969,0.812908,0.928044,326.4375,0.464046,534428924.218192
25.2656,0.812908,0.928044,326.5078,0.468857,534428924.218213
24.7344,0.812908,0.928044,326.6367,0.475922,534428924.218233
24.2031,0.812908,0.928044,326.8359,0.477359,534428924.234398
23.6094,0.812908,0.928044,327.0352,0.483383,534428924.234488
23.0781,0.812908,0.928044,327.3047,0.484307,534428924.23451
22.4219,0.812908,0.928044,327.6328,0.503101,534428924.234528
21.8906,0.812908,0.928044,327.9609,0.506995,534428924.250221
21.2969,0.812908,0.928044,328.3594,0.512063,534428924.250362
20.625,0.812908,0.928044,328.7578,0.550547,534428924.250382
20.0313,0.812908,0.928044,329.1563,0.540038,534428924.2504
19.3594,0.812908,0.928044,329.6953,0.548974,534428924.266003
18.7656,0.812908,0.928044,330.1523,0.557021,534428924.266107
18.1719,0.812908,0.928044,330.6211,0.536571,534428924.266125
17.5781,0.812908,0.928044,331.0898,0.542961,534428924.266165
17.0469,0.812908,0.928044,331.6172,0.549221,534428924.281861
16.5156,0.812908,0.928044,332.0742,0.555481,534428924.282079
16.0469,0.812908,0.928044,332.543,0.548887,534428924.282097
15.6563,0.812908,0.928044,333.0117,0.552901,534428924.282113
15.3125,0.812908,0.928044,333.4688,0.558425,534428924.298963
15.0469,0.812908,0.928044,333.9375,0.539279,534428924.299049
14.7813,0.812908,0.928044,334.4648,0.542837,534428924.299091
14.5938,0.812908,0.928044,334.9336,0.544459,534428924.299111
14.4531,0.812908,0.928044,335.4609,0.547939,534428924.3158
14.3281,0.812908,0.928044,336,0.527999,534428924.315903
14.25,0.812908,0.928044,336.5273,0.529485,534428924.315943
14.1875,0.812908,0.928044,336.9844,0.528438,534428924.315962
14.1875,0.812908,0.928044,337.582,0.529387,534428924.332364
14.1875,0.812908,0.928044,338.1211,0.507551,534428924.33247
14.1875,0.812908,0.928044,338.7188,0.507171,534428924.33249
14.1875,0.812908,0.928044,339.2461,0.505557,534428924.33252
14.1875,0.812908,0.928044,339.9141,0.497718,534428924.349216
14.1875,0.812908,0.928044,340.5117,0.495506,534428924.349308
14.25,0.812908,0.928044,341.0977,0.493881,534428924.349355
14.4531,0.812908,0.928044,341.7656,0.490025,534428924.349378
14.6563,0.812908,0.928044,342.4336,0.510415,534428924.365943
14.8594,0.812908,0.928044,343.0313,0.507873,534428924.366087
15.125,0.812908,0.928044,343.6875,0.505901,534428924.366113
15.3906,0.812908,0.928044,344.2852,0.502568,534428924.366149
15.7813,0.812908,0.928044,344.9531,0.511557,534428924.382941
16.1875,0.812908,0.928044,345.5508,0.510553,534428924.383044
16.7188,0.812908,0.928044,346.1484,0.508948,534428924.383068
17.25,0.812908,0.928044,346.7461,0.509713,534428924.383096
17.8438,0.812908,0.928044,347.2031,0.508565,534428924.399604
18.4375,0.812908,0.928044,347.7422,0.512099,534428924.399693
19.2344,0.812908,0.928044,348.2695,0.488468,534428924.399715
19.7656,0.812908,0.928044,348.668,0.470708,534428924.399744
20.5625,0.812908,0.928044,349.1367,0.469527,534428924.416328
21.2969,0.812908,0.928044,349.5352,0.46911,534428924.416414
22.0938,0.812908,0.928044,349.9336,0.447758,534428924.416437
22.75,0.812908,0.926243,350.2617,0.444883,534428924.416484
23.6094,0.812908,0.915883,350.5898,0.442579,534428924.433174
24.4063,0.812908,0.911565,350.9883,0.43728,534428924.433276
25.1406,0.812908,0.909917,351.2578,0.445172,534428924.433303
26,0.812908,0.909917,351.5859,0.441113,534428924.433324
26.7969,0.812908,0.909917,351.9141,0.436518,534428924.449795
27.7969,0.812908,0.909917,352.2539,0.467693,534428924.449918
28.7188,0.812908,0.909917,352.5117,0.464569,534428924.449941
29.5781,0.812908,0.909917,352.7813,0.461246,534428924.449965
30.6406,0.812908,0.909917,353.0508,0.457262,534428924.466646
31.6406,0.812908,0.909917,353.1797,0.481611,534428924.466763
32.7031,0.812908,0.909917,353.3086,0.505959,534428924.466785
33.7656,0.812908,0.909917,353.3789,0.507453,534428924.466804
34.8906,0.812908,0.909917,353.3789,0.507344,534428924.483484
36.0156,0.812908,0.909917,353.3789,0.51351,534428924.483566
