x,l,a,y,p,t
42.3906,1.018993,0.350972,268.5117,0.333333,534428962.905226
42.4531,1.018993,0.350972,268.1836,0.333333,534428962.930038
42.5156,1.018993,0.350972,267.7852,0.333333,534428962.930149
42.5156,1.018993,0.350972,267.5156,0.333333,534428962.930188
42.5156,1.018993,0.350972,267.2578,0.264844,534428962.930239
42.5156,1.018993,0.350972,267.0586,0.230599,534428962.960365
42.5156,1.018993,0.350972,266.8594,0.21401,534428962.960695
42.5156,1.018993,0.350972,266.7188,0.217009,534428962.960736
42.3906,1.018993,0.350972,266.5195,0.220759,534428962.96077
42.3281,1.018993,0.350972,266.3203,0.223759,534428962.96086
42.25,1.018993,0.350972,266.1211,0.266246,534428962.961107
42.25,1.018993,0.350972,265.8633,0.308733,534428962.96114
42.25,1.018993,0.350972,265.5352,0.319623,534428962.976593
42.25,1.018993,0.350972,265.1953,0.306168,534428962.976676
42.25,1.018993,0.350972,264.7969,0.294779,534428962.976703
42.25,1.018993,0.350972,264.3398,0.300977,534428962.976727
42.3281,1.018993,0.350972,263.8008,0.311306,534428962.990534
42.4531,1.018993,0.350972,263.2734,0.289031,534428962.990624
42.7188,1.018993,0.350972,262.6758,0.29565,534428962.990641
42.9219,1.018993,0.350972,262.207,0.302269,534428962.99066
43.125,1.018993,0.350972,261.6094,0.310543,534428963.007197
43.3125,1.018993,0.350972,261.082,0.276013,534428963.007282
43.4531,1.018993,0.351201,260.625,0.280258,534428963.007303
43.5781,1.018993,0.351994,260.1563,0.284504,534428963.007326
43.6563,1.018993,0.353245,259.6875,0.2836,534428963.023525
43.6563,1.018993,0.354588,259.3594,0.285197,534428963.023608
43.6563,1.018993,0.355977,259.0313,0.288544,534428963.023631
43.6563,1.018993,0.357304,258.7617,0.285408,534428963.023648
43.6563,1.018993,0.358617,258.4922,0.329105,534428963.040347
43.3906,1.018993,0.359532,258.293,0.328725,534428963.040427
43.0469,1.018993,0.360417,258.0938,0.330368,534428963.04045
42.7188,1.018993,0.360646,257.9648,0.331621,534428963.040467
42.3281,1.018993,0.360936,257.8945,0.371868,534428963.056796
41.9219,1.018993,0.361455,257.8359,0.413748,534428963.056881
41.4688,1.018993,0.361577,257.7656,0.418817,534428963.0569
41.125,1.018993,0.361577,257.6953,0.470324,534428963.056917
40.5938,1.018993,0.361577,257.6953,0.500896,534428963.073718
40.2031,1.018993,0.361577,257.6953,0.536639,534428963.073799
39.7969,1.018993,0.361577,257.6367,0.579525,534428963.073819
39.4063,1.018993,0.361577,257.6367,0.597742,534428963.073838
38.9375,1.018993,0.361577,257.6367,0.612064,534428963.090455
38.6094,1.018993,0.361577,257.5664,0.635983,534428963.090535
38.1406,1.018993,0.361577,257.5664,0.657224,534428963.090553
37.75,1.018993,0.361577,257.5664,0.678846,534428963.090579
37.3438,1.018993,0.361577,257.5664,0.707234,534428963.106804
36.8906,1.018993,0.361577,257.5664,0.726949,534428963.106887
36.4844,1.018993,0.361577,257.5664,0.750571,534428963.106905
36.0938,1.018993,0.361577,257.5664,0.771167,534428963.106921
35.6875,1.018993,0.361577,257.8359,0.791763,534428963.123485
35.2188,1.018993,0.361577,258.2344,0.776459,534428963.123572
34.6875,1.018993,0.361577,258.6914,0.7653,534428963.123589
34.2344,1.018993,0.361577,259.1602,0.784113,534428963.123611
33.625,1.018993,0.361577,259.7578,0.799628,534428963.140274
33.0938,1.018993,0.361577,260.2266,0.764252,534428963.140352
32.5,1.018993,0.361577,260.7539,0.751108,534428963.140376
31.9688,1.018993,0.361577,261.2813,0.737963,534428963.140398
31.4375,1.018993,0.361577,261.8086,0.770255,534428963.156712
30.9063,1.018993,0.361577,262.3477,0.78002,534428963.156797
30.4531,1.018993,0.361577,262.8047,0.786247,534428963.156816
30.0469,1.018993,0.361577,263.2734,0.794696,534428963.156832
29.6563,1.018993,0.361577,263.8008,0.821556,534428963.173726
29.3125,1.018993,0.361577,264.2695,0.829475,534428963.173804
28.9844,1.018993,0.361577,264.7969,0.834265,534428963.173824
28.7188,1.018993,0.361577,265.3359,0.841143,534428963.173845
28.4531,1.018993,0.361577,265.9219,0.876355,534428963.190204
28.1875,1.018993,0.361577,266.5195,0.911568,534428963.190288
27.9219,1.018993,0.361577,267.1875,0.922655,534428963.190308
27.7344,1.018993,0.361577,267.9141,0.971384,534428963.190324
27.4688,1.018993,0.361577,268.7813,0.989716,534428963.206765
27.2656,1.018993,0.361577,269.707,1.002636,534428963.20685
27,1.018993,0.361577,270.7031,1.024882,534428963.206867
26.7344,1.018993,0.361577,271.6289,1.049046,534428963.206887
26.4688,1.018993,0.361577,272.8242,1.069482,534428963.224361
26.2031,1.018993,0.361577,273.9609,1.086853,534428963.224495
25.875,1.018993,0.361577,275.1563,1.113719,534428963.22452
25.6094,1.018993,0.361577,276.3398,1.132092,534428963.224538
25.2656,1.018993,0.361577,277.7344,1.151978,534428963.240386
25,1.018993,0.361577,278.9297,1.170563,534428963.240466
24.6094,1.018993,0.361577,280.3945,1.117633,534428963.240487
24.4063,1.018993,0.361577,281.5898,1.097364,534428963.240503
24.1406,1.018993,0.361577,283.043,1.077315,534428963.256983
23.8125,1.018993,0.361577,284.5781,1.088781,534428963.257061
23.5469,1.018993,0.361577,286.1016,1.097651,534428963.257078
23.2813,1.018993,0.361577,287.5547,1.107548,534428963.257094
22.9531,1.018993,0.361577,289.1484,1.111632,534428963.273692
22.6875,1.018993,0.361577,290.7422,1.099925,534428963.273779
22.3594,1.018993,0.361577,292.4063,1.106753,534428963.273797
22.0938,1.018993,0.361577,294,1.113773,534428963.273813
21.75,1.018993,0.361577,295.7227,1.115775,534428963.290508
21.4219,1.018993,0.361577,297.4453,1.135486,534428963.290585
21.0938,1.018993,0.361577,299.2383,1.140357,534428963.290602
20.8281,1.018993,0.361577,300.9609,1.146271,534428963.290618
20.5,1.018993,0.361577,302.8828,1.154434,534428963.306857
20.2344,1.018993,0.357289,304.7461,1.189564,534428963.306938
19.9688,1.018993,0.351689,306.9961,1.227251,534428963.306956
19.7656,1.018993,0.347356,308.7188,1.235677,534428963.306973
19.5,1.018993,0.342656,311.1094,1.259187,534428963.323392
19.2969,1.018993,0.340306,312.9727,1.269695,534428963.323472
19.0313,1.018993,0.339116,315.1641,1.284857,534428963.32349
18.8281,1.018993,0.338536,317.1563,1.295958,534428963.323506
18.5,1.018993,0.338246,319.6055,1.308484,534428963.340337
18.3125,1.018993,0.338093,321.7969,1.319847,534428963.340415
18.0469,1.018993,0.338017,324.0469,1.335534,534428963.340434
17.8438,1.018993,0.337987,325.9102,1.280958,534428963.340451
17.6406,1.018993,0.337956,328.3008,1.260047,534428963.356564
17.4375,1.018993,0.337956,330.75,1.237022,534428963.356645
17.3125,1.018993,0.337956,333.0703,1.2437,534428963.356666
17.25,1.018993,0.337941,335.0039,1.225286,534428963.356684
17.1719,1.018993,0.337941,337.5234,1.203152,534428963.374028
17.1719,1.018993,0.337941,339.375,1.207099,534428963.374102
17.1719,1.018993,0.337941,341.5664,1.20352,534428963.374121
17.1719,1.018993,0.337941,343.6289,1.230464,534428963.374137
17.1719,1.018993,0.337941,346.1484,1.257408,534428963.390807
17.1719,1.018993,0.337941,348.3398,1.251471,534428963.390881
17.1719,1.018993,0.337941,350.5195,1.28008,534428963.390898
17.25,1.018993,0.337941,352.9805,1.307495,534428963.390914
17.3125,1.018993,0.337941,355.5703,1.310077,534428963.406893
17.4375,1.018993,0.337941,357.9609,1.315577,534428963.406974
17.5781,1.018993,0.337941,360.4805,1.322237,534428963.406992
17.7031,1.018993,0.337941,362.8008,1.330168,534428963.407008
17.9063,1.018993,0.337941,365.5195,1.335976,534428963.423853
18.1094,1.018993,0.337941,368.0391,1.350273,534428963.423929
18.375,1.018993,0.337941,370.8281,1.359843,534428963.423949
18.5781,1.018993,0.337941,373.2891,1.378387,534428963.423965
18.8281,1.018993,0.249898,376.0078,1.387634,534428963.440546
19.0938,1.018993,0.202748,378.457,1.360724,534428963.440621
19.3594,1.018993,0.176701,380.6484,1.335514,534428963.44064
19.7656,1.018993,0.159062,383.0391,1.338646,534428963.440656
20.0938,1.018993,0.147938,385.0898,1.33535,534428963.45725
20.5625,1.018993,0.139302,387.2227,1.337247,534428963.457326
21.0938,1.018993,0.130421,389.543,1.341166,534428963.457343
21.5625,1.018993,0.124028,391.1953,1.33828,534428963.457361
22.2188,1.018993,0.11736,393.3867,1.348569,534428963.47397
22.75,1.018993,0.112538,394.9102,1.349497,534428963.474045
23.4844,1.018993,0.107915,396.6445,1.352139,534428963.474064
24.2031,1.018993,0.103337,398.168,1.352908,534428963.474081
25.0781,1.018993,0.098958,399.7617,1.336459,534428963.490321
26,1.018993,0.094563,401.1563,1.338071,534428963.490396
27.0625,1.018993,0.089848,402.5391,1.340165,534428963.490416
28.0625,1.018993,0.085194,403.7344,1.324845,534428963.490433
29.0469,1.018993,0.080876,404.8711,1.32621,534428963.506864
30.1875,1.018993,0.075108,405.9961,1.327512,534428963.506937
31.375,1.018993,0.069462,407.0508,1.328672,534428963.506956
32.3125,1.018993,0.064946,407.7891,1.330046,534428963.506973
33.5,1.018993,0.05956,408.6445,1.331549,534428963.523795
34.7656,1.018993,0.053334,409.4414,1.330482,534428963.523869
35.8281,1.018993,0.048863,409.9805,1.326887,534428963.523888
36.9531,1.018993,0.043873,410.5078,1.304124,534428963.523905
38.2031,1.018993,0.039143,410.9766,1.303164,534428963.540798
39.4063,1.018993,0.035283,411.3633,1.29792,534428963.540877
40.6719,1.018993,0.032109,411.6328,1.295709,534428963.540895
41.9219,1.018993,0.028203,411.7617,1.300189,534428963.540913
43.125,1.018993,0.025639,411.832,1.297443,534428963.557166
44.375,1.018993,0.023259,411.832,1.294747,534428963.557243
45.7031,1.018993,0.021153,411.832,1.318252,534428963.557261
46.9063,1.018993,0.018803,411.832,1.317211,534428963.557277
48.3594,1.019115,0.016789,411.4336,1.315467,534428963.573961
49.8281,1.023494,0.014516,410.8359,1.34457,534428963.574037
51.1563,1.02766,0.013463,410.2383,1.344861,534428963.574056
52.6094,1.031993,0.013325,409.3828,1.346548,534428963.574073
54.2031,1.036342,0.013325,408.3867,1.347193,534428963.590555
55.7344,1.040752,0.013325,407.3906,1.379918,534428963.590632
57.3125,1.045146,0.013325,406.1953,1.384562,534428963.59065
58.9844,1.049693,0.013325,404.9297,1.386834,534428963.590667
60.5,1.053981,0.013325,403.6055,1.394691,534428963.607076
62.2969,1.05833,0.013325,402.082,1.397767,534428963.607155
63.9531,1.062389,0.013325,400.4883,1.404385,534428963.607174
65.2813,1.065639,0.013325,399.1641,1.409066,534428963.607191
66.9375,1.068401,0.013325,397.3711,1.403323,534428963.623664
68.8594,1.070674,0.013325,395.3086,1.407008,534428963.62374
70.2656,1.072688,0.013325,393.5859,1.414654,534428963.623758
71.4531,1.074504,0.013325,392.0625,1.41988,534428963.623801
73.0469,1.076335,0.013325,390,1.395833,534428963.640384
74.375,1.078227,0.013325,388.207,1.371785,534428963.640459
75.5,1.080058,0.013325,386.5547,1.373532,534428963.640477
76.7656,1.082103,0.013325,384.7617,1.352202,534428963.640494
77.8281,1.084056,0.013325,383.168,1.328703,534428963.656799
78.8125,1.086055,0.013325,381.5742,1.328357,534428963.656885
79.8125,1.088039,0.013325,379.9219,1.32318,534428963.656904
80.6719,1.090022,0.013325,378.3281,1.384016,534428963.656921
81.5313,1.091884,0.013325,376.6641,1.413934,534428963.673524
82.3281,1.093715,0.013325,374.9414,1.443717,534428963.673597
83.0625,1.095378,0.013325,373.418,1.512628,534428963.673617
83.7969,1.096935,0.013325,371.8242,1.549234,534428963.673634
84.6563,1.098323,0.013325,369.832,1.588713,534428963.690625
85.3125,1.099498,0.013325,368.3086,1.595439,534428963.690704
86.1094,1.100475,0.013325,366.5156,1.640712,534428963.690722
86.9063,1.101283,0.013325,364.5938,1.648648,534428963.690739
87.7031,1.101863,0.013325,362.9297,1.673806,534428963.706685
88.4375,1.102336,0.013325,361.1367,1.656083,534428963.706782
89.2344,1.102718,0.013325,359.2148,1.677179,534428963.706799
89.8906,1.103023,0.013325,357.4922,1.693703,534428963.706817
90.5625,1.103313,0.013325,355.5,1.729364,534428963.723504
91.2188,1.103648,0.013325,353.4492,1.743913,534428963.723589
91.75,1.104106,0.013325,351.6563,1.78564,534428963.723608
92.2188,1.104625,0.013325,349.8633,1.80746,534428963.723623
92.75,1.105327,0.013325,347.6719,1.837742,534428963.740325
93.1563,1.106029,0.013325,345.8789,1.735506,534428963.740405
93.5469,1.10667,0.013325,343.8867,1.688207,534428963.740424
93.875,1.107402,0.013325,341.7656,1.665725,534428963.74044
94.1406,1.108104,0.013325,339.9141,1.635346,534428963.756766
94.4063,1.108836,0.013325,337.9219,1.603896,534428963.756851
94.6094,1.109599,0.017476,335.6602,1.600663,534428963.75687
94.6719,1.110271,0.023869,334.0078,1.602541,534428963.756887
94.7344,1.110927,0.030156,332.0156,1.594274,534428963.773429
94.7344,1.111537,0.035222,330.1523,1.593855,534428963.773511
94.7344,1.112056,0.038853,328.3594,1.590251,534428963.773528
94.7344,1.112453,0.042226,326.707,1.588847,534428963.773543
94.5469,1.112651,0.045445,324.9141,1.60157,534428963.789952
94.1406,1.112727,0.048924,323.1914,1.600272,534428963.790035
93.6875,1.112727,0.053395,321.4688,1.600472,534428963.790053
93.2188,1.112727,0.059651,319.6055,1.567426,534428963.790069
92.75,1.112727,0.066334,317.8828,1.567482,534428963.806762
92.2188,1.112727,0.073872,316.0195,1.566801,534428963.806846
91.625,1.112727,0.082707,313.7695,1.566492,534428963.806865
91.2188,1.112727,0.089162,312.1055,1.524076,534428963.806881
90.6875,1.112727,0.095555,309.9844,1.519611,534428963.823844
90.1563,1.112727,0.101002,307.9922,1.514575,534428963.823917
89.5625,1.112727,0.106389,305.6719,1.530165,534428963.823934
89.1094,1.112727,0.110463,304.0078,1.526511,534428963.82395
88.5,1.112727,0.115468,301.7578,1.521372,534428963.839914
88.0469,1.112727,0.12,300.0938,1.517287,534428963.839996
87.4375,1.112727,0.125554,298.1133,1.550505,534428963.840013
86.8438,1.112727,0.133382,296.1211,1.584864,534428963.840029
86.25,1.112727,0.140767,294.3281,1.581806,534428963.857225
85.5781,1.112727,0.148274,292.5352,1.579481,534428963.857303
84.9219,1.112727,0.155308,290.7422,1.577145,534428963.857321
84.3281,1.112727,0.161397,289.1484,1.574809,534428963.857337
83.5313,1.112727,0.166814,287.4961,1.57399,534428963.873907
82.7969,1.112727,0.1713,286.0313,1.607207,534428963.873985
82,1.112727,0.174702,284.5078,1.640425,534428963.874003
