x,l,a,y,p,t
67.4063,0.686443,0.501515,126.3867,0.333333,534429003.975858
67.4063,0.690059,0.501515,126.1289,0.333333,534429004.009935
67.4063,0.693157,0.501515,125.8594,0.333333,534429004.010155
67.3438,0.697887,0.501515,125.6602,0.333333,534429004.040462
67.1406,0.701976,0.501515,125.4609,0.333333,534429004.040655
66.875,0.70544,0.501515,125.3906,0.333333,534429004.040823
66.5469,0.708324,0.501515,125.332,0.333333,534429004.040957
66.2031,0.710628,0.501515,125.2617,0.333333,534429004.041007
65.75,0.712459,0.501515,125.2617,0.333333,534429004.041064
65.2188,0.713893,0.501515,125.2617,0.333333,534429004.041123
64.625,0.7149,0.501515,125.4609,0.333333,534429004.041172
64.0938,0.715648,0.501515,125.9297,0.333333,534429004.041218
63.2969,0.716213,0.501515,126.5859,0.333333,534429004.04127
62.5625,0.71664,0.501515,127.3242,0.333333,534429004.079545
61.7031,0.716991,0.501515,128.1797,0.333333,534429004.079726
60.8438,0.717265,0.501515,129.1758,0.333333,534429004.079796
59.7031,0.717403,0.501515,130.5703,0.333333,534429004.079872
58.7188,0.717677,0.501515,131.9648,0.333333,534429004.079923
57.5156,0.718059,0.501515,133.8867,0.333333,534429004.079961
56.4531,0.71841,0.501515,135.6797,0.333333,534429004.095007
55.2656,0.718791,0.501515,138,0.333333,534429004.095119
54.1406,0.719142,0.501515,140.4609,0.333333,534429004.107975
52.875,0.719585,0.501515,143.4492,0.333333,534429004.108065
51.9375,0.720073,0.501515,145.8281,0.333333,534429004.121136
50.75,0.720348,0.501515,149.2148,0.333333,534429004.121256
49.8281,0.720409,0.501515,152.332,0.333333,534429004.130692
48.9531,0.720409,0.501515,155.3906,0.333333,534429004.130801
48.1563,0.720409,0.501515,158.9063,0.480207,534429004.145092
47.5,0.720409,0.501515,162.4922,0.565575,534429004.145171
47.0313,0.720409,0.501515,165.668,0.619806,534429004.157531
46.7656,0.720409,0.498067,168.7266,0.673891,534429004.157648
46.6406,0.720409,0.490773,171.0469,0.663606,534429004.165973
46.6406,0.720409,0.483845,173.6953,0.657297,534429004.166045
46.6406,0.720409,0.477589,176.0273,0.677517,534429004.174957
46.9688,0.720805,0.472264,178.207,0.692778,534429004.175033
47.5,0.721889,0.468861,179.8711,0.711977,534429004.183512
48.4219,0.723384,0.465275,181.9219,0.721678,534429004.183586
49.2188,0.725093,0.462956,183.457,0.739493,534429004.191971
50.2813,0.727184,0.460423,184.9805,0.747253,534429004.192046
51.3438,0.729747,0.457341,186.3047,0.720129,534429004.201376
52.6719,0.732784,0.453892,187.5,0.706295,534429004.201452
54.0625,0.736354,0.450123,188.4258,0.69246,534429004.212893
55.6563,0.740383,0.446156,189.293,0.697782,534429004.213033
57.1875,0.744335,0.441609,189.9609,0.706794,534429004.225456
58.9844,0.748134,0.437062,190.418,0.713497,534429004.225535
60.7031,0.75172,0.432622,190.6875,0.721618,534429004.225554
62.5625,0.755046,0.428349,190.8164,0.728198,534429004.22557
64.2813,0.758052,0.424428,190.8164,0.7359,534429004.225587
66.4688,0.760829,0.420613,190.8164,0.74308,534429004.225603
68.1406,0.763469,0.418141,190.8164,0.735629,534429004.225619
70.125,0.766139,0.416173,190.6875,0.74513,534429004.225633
71.9219,0.768901,0.415166,190.2891,0.752625,534429004.234822
74.0469,0.771938,0.41515,189.6211,0.761593,534429004.234934
75.7031,0.774974,0.41515,189.0234,0.738972,534429004.234955
77.75,0.778316,0.41515,188.0977,0.745796,534429004.234984
79.2813,0.78152,0.41515,187.3711,0.752484,534429004.235001
81.1406,0.784633,0.41515,186.2344,0.77317,534429004.23502
82.8594,0.78741,0.41515,185.1094,0.779328,534429004.235036
84.7813,0.789836,0.41515,183.6563,0.783418,534429004.235053
86.1875,0.791866,0.41515,182.5898,0.788917,534429004.235068
87.9688,0.793529,0.41515,180.9375,0.792418,534429004.235085
89.2969,0.79507,0.41515,179.7422,0.797528,534429004.235113
90.8281,0.796535,0.41515,178.207,0.801932,534429004.243066
92.0938,0.798061,0.41515,176.8125,0.80246,534429004.24318
93.6094,0.799785,0.41515,175.0313,0.805046,534429004.243203
94.6719,0.801494,0.41515,173.6367,0.788669,534429004.243313
95.875,0.803172,0.41515,171.9727,0.792116,534429004.243333
96.8594,0.804591,0.41515,170.3789,0.77282,534429004.24335
97.9219,0.80595,0.41515,168.5859,0.776104,534429004.265292
98.8594,0.807231,0.41515,166.8633,0.779028,534429004.265371
99.8438,0.808406,0.41515,164.8125,0.78213,534429004.26539
100.4531,0.809429,0.41515,163.2188,0.785086,534429004.265407
101.25,0.810298,0.41515,160.957,0.786682,534429004.281457
101.7031,0.811,0.41515,159.1641,0.789455,534429004.281534
102.1719,0.811595,0.41515,157.1133,0.773506,534429004.281554
102.5,0.812023,0.41515,155.1914,0.761459,534429004.281571
102.8438,0.812206,0.41515,152.8008,0.761459,534429004.298393
102.9688,0.812206,0.41515,151.0781,0.761459,534429004.298463
103.0313,0.812206,0.41515,149.0859,0.760878,534429004.298482
103.1094,0.812206,0.41515,147.2227,0.760436,534429004.298499
103.1094,0.812206,0.41515,145.1719,0.759435,534429004.315219
103.1094,0.812206,0.41515,143.3789,0.758815,534429004.315335
103.0313,0.812206,0.41515,141.5156,0.759622,534429004.315355
102.7031,0.812206,0.41515,139.8633,0.759103,534429004.315372
102.3125,0.812206,0.41515,138.0703,0.758776,534429004.331477
101.8438,0.812206,0.41515,136.5469,0.760525,534429004.331555
101.3125,0.812206,0.41515,135.2109,0.760375,534429004.331573
100.7188,0.812206,0.41515,133.957,0.760084,534429004.340556
99.7813,0.812206,0.41515,132.5625,0.759793,534429004.340639
98.9844,0.812206,0.41515,131.6367,0.767585,534429004.349903
97.8594,0.812206,0.41515,130.5703,0.767537,534429004.349984
97,0.812206,0.41515,129.8438,0.767901,534429004.358722
95.7344,0.812206,0.41515,129.0469,0.767953,534429004.358842
94.3438,0.812206,0.41515,128.4492,0.796452,534429004.368765
92.8906,0.812206,0.41515,127.9219,0.797617,534429004.369554
91.4844,0.812206,0.41515,127.5234,0.799794,534429004.37778
89.8281,0.812206,0.41515,127.1836,0.808347,534429004.377854
88.1719,0.812206,0.41515,126.9844,0.811003,534429004.377872
86.4531,0.812206,0.41515,126.9258,0.813763,534429004.377888
84.7813,0.812206,0.41515,126.8555,0.823717,534429004.377904
82.8594,0.812206,0.41515,126.8555,0.826625,534429004.386634
81.0781,0.812206,0.415211,126.8555,0.830434,534429004.401399
79.1563,0.812206,0.415318,127.125,0.834469,534429004.401491
77.1563,0.812206,0.415318,127.5234,0.85088,534429004.409689
75.4375,0.812206,0.415318,127.7813,0.855723,534429004.410018
73.5781,0.812206,0.415318,128.1797,0.861246,534429004.423404
71.7813,0.812206,0.415318,128.5781,0.865448,534429004.423709
70.125,0.812206,0.415318,129.0469,0.871441,534429004.432875
68.4063,0.812206,0.415318,129.5156,0.875898,534429004.432949
66.875,0.812206,0.415318,130.043,0.880412,534429004.441738
65.4219,0.812206,0.415318,130.6406,0.883056,534429004.441853
63.8906,0.812206,0.415318,131.3672,0.866953,534429004.45055
62.4219,0.812206,0.415318,132.293,0.870937,534429004.450636
61.0938,0.812206,0.415318,133.3594,0.874878,534429004.46036
59.7031,0.812206,0.415318,134.6133,0.879847,534429004.460433
58.375,0.812206,0.415318,136.0078,0.849183,534429004.474668
57.25,0.812206,0.415318,137.4023,0.819476,534429004.474742
56.1875,0.812206,0.415318,138.9375,0.818701,534429004.48306
55.2031,0.812206,0.415318,140.6602,0.769156,534429004.483139
54.3281,0.812206,0.415318,142.3125,0.741229,534429004.493598
53.4063,0.812206,0.415318,144.4336,0.713302,534429004.493667
52.8125,0.812206,0.415318,146.0977,0.617322,534429004.504221
52.1406,0.812206,0.415318,148.0898,0.561454,534429004.504294
51.6719,0.812206,0.415318,149.9414,0.524933,534429004.513592
51.2813,0.812206,0.415318,152.2734,0.488412,534429004.513684
51.0781,0.812206,0.415318,153.9961,0.40321,534429004.522016
50.9531,0.812206,0.415318,155.9883,0.345885,534429004.522098
50.9531,0.812206,0.415318,157.9688,0.305658,534429004.530043
50.9531,0.812206,0.415318,159.9023,0,534429004.531869
163.875,0.846111,0.464757,152.9297,0.333333,534429005.141608
163.1563,0.846111,0.464757,153.3984,0.333333,534429005.170534
162.2188,0.846111,0.464757,153.8555,0.333333,534429005.187354
161.4844,0.846111,0.464757,154.2539,0.333333,534429005.187463
160.8906,0.846111,0.464757,154.6523,0.333333,534429005.1875
160.3594,0.846111,0.464757,154.9219,0.26574,534429005.187541
159.9688,0.846111,0.464757,155.25,0.216174,534429005.199075
159.625,0.846111,0.464757,155.4492,0.171864,534429005.199168
159.2969,0.846111,0.464757,155.5898,0.150839,534429005.199202
159.1094,0.846111,0.464757,155.7188,0.129813,534429005.199242
158.9063,0.846111,0.464757,155.7188,0.108787,534429005.199269
158.7656,0.846111,0.464757,155.7188,0.087762,534429005.199303
158.7031,0.846111,0.464757,155.7188,0.06148,534429005.199327
158.7031,0.846111,0.464757,155.6484,0.231228,534429005.19935
158.7031,0.846111,0.464757,155.1914,0.322175,534429005.216181
158.8438,0.846111,0.464757,154.5234,0.37025,534429005.216261
