x,l,a,y,p,t
127.5,1.570796,0,276.5,0,534411538.384303
124,1.570796,0,277,0,534411538.452102
118.5,1.570796,0,277.5,0,534411538.452339
113,1.570796,0,281,0,534411538.452447
109,1.570796,0,285,0,534411538.452548
105,1.570796,0,290,0,534411538.452647
101.5,1.570796,0,296.5,0,534411538.468584
98.5,1.570796,0,303.5,0,534411538.468699
96,1.570796,0,313.5,0,534411538.468736
94,1.570796,0,325,0,534411538.468782
93.5,1.570796,0,336,0,534411538.484444
92.5,1.570796,0,350,0,534411538.484543
92.5,1.570796,0,360.5,0,534411538.499264
92.5,1.570796,0,372,0,534411538.499365
93,1.570796,0,382,0,534411538.516031
96,1.570796,0,389.5,0,534411538.516119
101,1.570796,0,396,0,534411538.53187
107.5,1.570796,0,400,0,534411538.531965
115,1.570796,0,402.5,0,534411538.549219
124,1.570796,0,402.5,0,534411538.549334
133.5,1.570796,0,402.5,0,534411538.565459
143.5,1.570796,0,400,0,534411538.565546
154.5,1.570796,0,393.5,0,534411538.581904
165.5,1.570796,0,385.5,0,534411538.581996
174,1.570796,0,377.5,0,534411538.598512
183.5,1.570796,0,367,0,534411538.605931
189.5,1.570796,0,357.5,0,534411538.613247
194,1.570796,0,347,0,534411538.613327
196,1.570796,0,336,0,534411538.631343
196.5,1.570796,0,326,0,534411538.631426
196.5,1.570796,0,318.5,0,534411538.64781
195,1.570796,0,311,0,534411538.647893
191,1.570796,0,304.5,0,534411538.664404
186,1.570796,0,299,0,534411538.664486
180.5,1.570796,0,294,0,534411538.681422
175,1.570796,0,289.5,0,534411538.681502
170,1.570796,0,286.5,0,534411538.697781
164,1.570796,0,283.5,0,534411538.697861
157.5,1.570796,0,281.5,0,534411538.714377
152,1.570796,0,280.5,0,534411538.714458
145,1.570796,0,280,0,534411538.731068
140,1.570796,0,280,0,534411538.731149
135,1.570796,0,280,0,534411538.747827
131,1.570796,0,281,0,534411538.747915
129.5,1.570796,0,283,0,534411538.764953
129,1.570796,0,285,0,534411538.765033
129,1.570796,0,287.5,0,534411538.781472
130,1.570796,0,291,0,534411538.782012
310,1.570796,0,278.5,0,534411538.954779
303.5,1.570796,0,285,0,534411538.996719
303,1.570796,0,292,0,534411538.996827
301.5,1.570796,0,300,0,534411539.038375
300.5,1.570796,0,309.5,0,534411539.038777
300,1.570796,0,319.5,0,534411539.038827
300,1.570796,0,333,0,534411539.038865
300,1.570796,0,346,0,534411539.069364
300,1.570796,0,359,0,534411539.069502
300.5,1.570796,0,371.5,0,534411539.069548
301.5,1.570796,0,383,0,534411539.069577
303,1.570796,0,393.5,0,534411539.078815
305,1.570796,0,403.5,0,534411539.078903
306,1.570796,0,410,0,534411539.099771
309.5,1.570796,0,415,0,534411539.100433
384.5,1.570796,0,309,0,534411539.239503
382.5,1.570796,0,306,0,534411539.266547
382,1.570796,0,300,0,534411539.266666
382,1.570796,0,296.5,0,534411539.305279
382,1.570796,0,293,0,534411539.305379
382,1.570796,0,289.5,0,534411539.305429
383,1.570796,0,286.5,0,534411539.305464
387,1.570796,0,283.5,0,534411539.334519
392.5,1.570796,0,280.5,0,534411539.334634
399.5,1.570796,0,278,0,534411539.334682
407,1.570796,0,276,0,534411539.334718
415.5,1.570796,0,275,0,534411539.351187
425,1.570796,0,274.5,0,534411539.351299
432,1.570796,0,274.5,0,534411539.367949
438,1.570796,0,274.5,0,534411539.368061
442.5,1.570796,0,278,0,534411539.384289
445.5,1.570796,0,282.5,0,534411539.384402
446,1.570796,0,288,0,534411539.399745
446,1.570796,0,295,0,534411539.399841
443.5,1.570796,0,303.5,0,534411539.416223
437.5,1.570796,0,310.5,0,534411539.416308
430,1.570796,0,318,0,534411539.432189
419.5,1.570796,0,328,0,534411539.43228
411.5,1.570796,0,335,0,534411539.449144
402.5,1.570796,0,343,0,534411539.449237
395,1.570796,0,351,0,534411539.465747
390.5,1.570796,0,357.5,0,534411539.465836
387.5,1.570796,0,364.5,0,534411539.482058
387.5,1.570796,0,370.5,0,534411539.482146
387.5,1.570796,0,377,0,534411539.498667
393.5,1.570796,0,384,0,534411539.498755
401.5,1.570796,0,388.5,0,534411539.515453
412,1.570796,0,393,0,534411539.515535
424.5,1.570796,0,397.5,0,534411539.531536
437.5,1.570796,0,401,0,534411539.531616
451,1.570796,0,402,0,534411539.548888
464,1.570796,0,402,0,534411539.54898
477,1.570796,0,400,0,534411539.565401
489.5,1.570796,0,393.5,0,534411539.565962
518,1.570796,0,301,0,534411539.671774
519,1.570796,0,299,0,534411539.695332
522,1.570796,0,295.5,0,534411539.716435
529,1.570796,0,293,0,534411539.716531
539.5,1.570796,0,291.5,0,534411539.732219
552,1.570796,0,290.5,0,534411539.732329
568,1.570796,0,290.5,0,534411539.766148
584.5,1.570796,0,290.5,0,534411539.766238
600,1.570796,0,291,0,534411539.766261
611.5,1.570796,0,292.5,0,534411539.766291
619.5,1.570796,0,293.5,0,534411539.782339
624,1.570796,0,294,0,534411539.782472
626.5,1.570796,0,294.5,0,534411539.799678
626.5,1.570796,0,295.5,0,534411539.799776
623.5,1.570796,0,297,0,534411539.816317
614,1.570796,0,299.5,0,534411539.816415
604,1.570796,0,303,0,534411539.83216
594.5,1.570796,0,307,0,534411539.832257
587,1.570796,0,310.5,0,534411539.848955
582.5,1.570796,0,314,0,534411539.849046
579.5,1.570796,0,318.5,0,534411539.865524
579.5,1.570796,0,324,0,534411539.865603
584.5,1.570796,0,330,0,534411539.881684
596.5,1.570796,0,335.5,0,534411539.881777
609,1.570796,0,340.5,0,534411539.898705
621,1.570796,0,345.5,0,534411539.898793
630.5,1.570796,0,350.5,0,534411539.915081
637.5,1.570796,0,355.5,0,534411539.915165
641,1.570796,0,359.5,0,534411539.930993
643,1.570796,0,363.5,0,534411539.931081
643,1.570796,0,367.5,0,534411539.948022
639,1.570796,0,373,0,534411539.948096
628.5,1.570796,0,378,0,534411539.964631
618.5,1.570796,0,382.5,0,534411539.964719
603.5,1.570796,0,388,0,534411539.981565
588.5,1.570796,0,392.5,0,534411539.981648
575,1.570796,0,396,0,534411539.998085
562.5,1.570796,0,398.5,0,534411539.998168
553.5,1.570796,0,401,0,534411540.015466
547,1.570796,0,401,0,534411540.015546
540.5,1.570796,0,402.5,0,534411540.016047
