x,l,a,y,p,t
69.6563,1.001323,0.445332,237.4688,0.333333,534428225.432827
68.5938,1.001323,0.445332,237.4688,0.333333,534428225.453008
67.4688,1.001323,0.445332,237.8555,0.333333,534428225.45312
66.9375,1.001323,0.445332,238.3242,0.333333,534428225.463508
66.5469,1.001323,0.445332,238.7227,0.333333,534428225.473252
66.2031,1.001323,0.445332,238.9922,0.333333,534428225.473348
66.0781,1.001323,0.445332,239.25,0.333333,534428225.473379
66.0781,1.001323,0.445332,239.4492,0.333333,534428225.473417
66.0781,1.001323,0.445332,239.5898,0.333333,534428225.473443
66.1406,1.001323,0.445332,239.6484,0.333333,534428225.473482
66.4063,1.001323,0.445332,239.6484,0.333333,534428225.473508
66.7344,1.001323,0.445332,239.6484,0.333333,534428225.473532
67.1406,1.001323,0.445332,239.6484,0.15,534428225.473562
67.6094,1.001323,0.445332,239.6484,0.084373,534428225.51029
67.9375,1.001323,0.445332,239.6484,0.08365,534428225.51041
68.4688,1.001323,0.445332,239.5195,0.160273,534428225.510439
68.8594,1.001323,0.445332,239.25,0.190235,534428225.510462
69.2656,1.001323,0.445332,238.8516,0.196868,534428225.510682
69.5938,1.001323,0.445332,238.4531,0.243798,534428225.510715
70,1.001323,0.445332,237.9961,0.261556,534428225.510749
70.3906,1.001323,0.445332,237.3984,0.276461,534428225.510778
70.7813,1.001323,0.445332,236.6016,0.265048,534428225.510801
71.3125,1.001323,0.445332,235.7344,0.318757,534428225.510826
71.7813,1.001323,0.445332,234.8086,0.343632,534428225.52052
72.5156,1.001323,0.445332,233.4844,0.376862,534428225.520672
73.1094,1.001323,0.445332,232.1602,0.415747,534428225.533587
73.8438,1.001323,0.445332,230.625,0.426587,534428225.533675
74.5781,1.001323,0.445332,229.0313,0.433401,534428225.533696
75.5,1.001323,0.445332,227.0508,0.449042,534428225.550756
76.1563,1.001323,0.445332,225.457,0.464208,534428225.550837
77.0938,1.001323,0.445332,223.2656,0.477916,534428225.550856
77.75,1.001323,0.445332,221.6719,0.488361,534428225.550873
78.625,1.001323,0.445332,219.6094,0.506012,534428225.567092
79.4844,1.001323,0.445332,217.6289,0.500288,534428225.567173
80.4063,1.001323,0.445332,215.4375,0.510438,534428225.567191
81.1406,1.001323,0.445332,213.7734,0.520926,534428225.567207
82.0625,1.001323,0.449361,211.582,0.516465,534428225.583566
82.7344,1.001323,0.454487,209.9297,0.525396,534428225.583644
83.4688,1.001323,0.45937,208.0664,0.533701,534428225.583662
84.0625,1.001323,0.464177,206.2734,0.541744,534428225.583678
84.7188,1.001323,0.469044,204.4922,0.547718,534428225.599939
85.3125,1.001323,0.473775,202.8281,0.555335,534428225.600016
85.7813,1.001323,0.477788,201.3047,0.565919,534428225.600034
86.25,1.001323,0.482487,199.7109,0.572746,534428225.600058
86.6406,1.001323,0.485814,198.4453,0.583052,534428225.61665
86.9844,1.001323,0.489644,197.25,0.591024,534428225.616729
87.3125,1.001323,0.493214,196.2539,0.598997,534428225.616781
87.5156,1.001323,0.49532,195.5977,0.606969,534428225.616799
87.7031,1.001323,0.49741,194.8711,0.613543,534428225.63359
87.9063,1.001323,0.498418,194.4727,0.621323,534428225.633734
88.0469,1.001323,0.49944,194.0742,0.630905,534428225.633829
88.1719,1.001323,0.500127,193.875,0.610122,534428225.633867
88.2344,1.001323,0.500706,193.7344,0.616672,534428225.650499
88.375,1.001323,0.501073,193.6758,0.623522,534428225.650578
88.5,1.001323,0.5015,193.6758,0.600772,534428225.650611
88.6406,1.001323,0.501912,193.6758,0.604976,534428225.650637
88.7031,1.001323,0.502034,193.6758,0.610915,534428225.666802
88.8438,1.001323,0.50237,193.9336,0.616218,534428225.666882
88.9063,1.001323,0.502797,194.4727,0.607741,534428225.6669
88.9688,1.001323,0.503209,195.0703,0.611593,534428225.666921
89.0313,1.001323,0.503209,196.0547,0.613549,534428225.68379
89.1094,1.001323,0.503209,197.1914,0.621394,534428225.683865
89.1094,1.001323,0.503209,198.5859,0.623376,534428225.683883
89.1094,1.001323,0.503209,200.1797,0.623241,534428225.683898
89.1094,1.001323,0.503209,202.2305,0.625311,534428225.700003
88.9063,1.001323,0.503209,203.9531,0.619881,534428225.70008
88.5781,1.001323,0.503209,206.0742,0.62197,534428225.700097
88.3125,1.001323,0.503209,208.4063,0.622669,534428225.700112
87.9063,1.001323,0.503209,210.8555,0.624606,534428225.717212
87.5781,1.001323,0.503209,213.2461,0.627075,534428225.717289
87.25,1.001323,0.503209,215.8945,0.62876,534428225.717307
86.9063,1.001323,0.503209,218.4258,0.63313,534428225.717323
86.5781,1.001323,0.503209,221.3438,0.671355,534428225.733418
86.1875,1.001323,0.503209,224.3906,0.674547,534428225.733497
85.9844,1.001323,0.503209,226.9102,0.678847,534428225.733515
85.7813,1.001323,0.503209,229.4297,0.683923,534428225.733531
85.5781,1.001323,0.503209,232.1602,0.676797,534428225.749703
85.5156,1.001323,0.503209,234.5391,0.681086,534428225.749786
85.5156,1.001323,0.503209,236.6016,0.686068,534428225.749804
85.5156,1.001323,0.503209,238.9922,0.707451,534428225.749821
85.5156,1.001323,0.503209,240.9844,0.712843,534428225.766595
85.5156,1.001323,0.503209,243.0352,0.717597,534428225.766675
85.5156,1.001323,0.503209,245.2969,0.722063,534428225.766693
85.5156,1.001323,0.503209,246.9492,0.72821,534428225.766708
85.5781,1.001323,0.499806,248.9414,0.734221,534428225.783468
85.7188,1.001323,0.492863,250.9336,0.739899,534428225.783548
85.8438,1.001323,0.486256,252.5859,0.771539,534428225.783675
85.9844,1.001323,0.479176,254.25,0.777147,534428225.783709
86.1875,1.001323,0.472737,255.9141,0.783834,534428225.800481
86.3125,1.001323,0.466527,257.3672,0.790336,534428225.80056
86.4531,1.001323,0.461888,258.6914,0.76976,534428225.800579
86.5781,1.001323,0.456441,260.1563,0.7744,534428225.800596
86.6406,1.001323,0.452611,261.3516,0.781982,534428225.817571
86.7188,1.001323,0.449361,262.5469,0.789325,534428225.817645
86.7813,1.001323,0.446324,263.6016,0.814276,534428225.817664
86.8438,1.001323,0.444081,264.4688,0.821,534428225.81768
86.8438,1.001659,0.442052,265.3945,0.828853,534428225.833383
86.8438,1.001933,0.439946,266.1914,0.833311,534428225.833462
86.8438,1.002208,0.438206,266.7891,0.861751,534428225.833479
86.8438,1.002422,0.436726,267.3164,0.868245,534428225.833494
86.8438,1.00259,0.43517,267.8555,0.87508,534428225.850102
86.8438,1.002696,0.433583,268.1836,0.886282,534428225.850197
86.8438,1.002803,0.43224,268.4531,0.895221,534428225.85022
86.8438,1.002849,0.430882,268.7109,0.900428,534428225.850238
86.7813,1.002879,0.429875,268.8516,0.909304,534428225.866668
86.6406,1.002895,0.428944,268.9805,0.903561,534428225.866748
86.5781,1.002895,0.428242,269.0508,0.910977,534428225.866774
86.5156,1.002895,0.4278,269.1094,0.922133,534428225.866819
86.375,1.002895,0.427312,269.1094,0.887354,534428225.883375
86.3125,1.002895,0.426915,269.1094,0.870718,534428225.883455
86.1875,1.002895,0.426716,269.1094,0.857096,534428225.883472
86.1094,1.002895,0.426579,269.1094,0.86182,534428225.883487
86.0469,1.002895,0.426579,268.9805,0.750153,534428225.899864
86.0469,1.002895,0.426579,268.582,0.689636,534428225.899944
86.0469,1.002895,0.426579,268.0547,0.657064,534428225.899962
86.0469,1.002895,0.426579,267.3867,0.46291,534428225.899977
86.1875,1.002895,0.426579,266.5195,0.341978,534428225.917362
86.5781,1.002895,0.426579,265.5352,0.273148,534428225.917616
87.1719,1.002895,0.426579,264.1406,0.227583,534428225.917639
87.9063,1.002895,0.426579,262.4766,0,534428225.918518
135.9531,1.096767,0.598454,207.5391,0.333333,534428226.163384
