x,l,a,y,p,t
90.5625,0.927562,0.913838,317.2852,0.333333,534429052.180172
90.2969,0.927562,0.913838,316.7578,0.333333,534429052.218537
89.8281,0.927562,0.913838,316.2188,0.333333,534429052.255564
89.4375,0.927562,0.913838,315.8203,0.333333,534429052.255746
89.1094,0.927562,0.913838,315.4219,0.333333,534429052.255796
88.7656,0.927562,0.913838,315.0938,0.333333,534429052.255971
88.5,0.927562,0.913838,314.8242,0.333333,534429052.256028
88.3125,0.927562,0.913838,314.4961,0.333333,534429052.256084
87.9688,0.927562,0.913838,314.168,0.333333,534429052.256129
87.7813,0.927562,0.913838,313.8984,0.333333,534429052.256231
87.5156,0.927562,0.913838,313.5703,0.333333,534429052.256312
87.1719,0.927562,0.913838,313.3008,0.333333,534429052.25635
86.8438,0.927562,0.913838,313.0313,0.333333,534429052.256407
86.4531,0.927562,0.913838,312.832,0.333333,534429052.256657
85.9844,0.927562,0.913838,312.5742,0.333333,534429052.2567
85.5156,0.927562,0.913838,312.375,0.333333,534429052.256736
84.9844,0.927562,0.913838,312.1758,0.333333,534429052.25677
84.4531,0.927562,0.913838,312.1055,0.333333,534429052.256807
83.7969,0.927562,0.913838,311.9766,0.333333,534429052.256844
83.2031,0.927562,0.913838,311.8477,0.150808,534429052.26871
82.5313,0.927562,0.913838,311.7773,0.059545,534429052.268805
81.875,0.927562,0.913838,311.707,0,534429052.268841
81.2031,0.927562,0.913838,311.6484,0.264784,534429052.26887
80.4688,0.927562,0.913838,311.5781,0.498935,534429052.268899
79.8125,0.927562,0.913838,311.5078,0.630505,534429052.268922
79.1563,0.927562,0.913838,311.5078,0.708136,534429052.268944
78.4219,0.927562,0.913838,311.5078,0.764208,534429052.28666
77.75,0.927562,0.913838,311.5078,0.747418,534429052.286759
77.0938,0.927562,0.913838,311.5078,0.775442,534429052.286782
76.3594,0.927562,0.913838,311.5078,0.7926,534429052.2868
75.7031,0.927562,0.913838,311.707,0.819793,534429052.30141
75.0313,0.927562,0.913838,311.9063,0.818578,534429052.301491
74.1719,0.927562,0.913838,312.1758,0.815012,534429052.301514
73.4375,0.927562,0.913838,312.3047,0.834027,534429052.301532
72.5781,0.927562,0.913838,312.5742,0.849468,534429052.317653
71.6563,0.927562,0.913838,312.9023,0.873353,534429052.317739
70.6563,0.927562,0.913838,313.2305,0.88602,534429052.317758
69.7969,0.927562,0.913838,313.5703,0.901251,534429052.317775
68.7344,0.927562,0.913838,314.0273,0.927098,534429052.333838
67.7344,0.927562,0.913838,314.4258,0.941548,534429052.333921
66.6719,0.927562,0.913838,314.8945,0.957373,534429052.33394
65.6094,0.927562,0.913838,315.4922,0.967879,534429052.333957
64.6875,0.927562,0.913838,315.9609,0.98336,534429052.349978
63.6875,0.927562,0.913838,316.418,0.998165,534429052.350068
62.7656,0.927562,0.913838,317.0156,1.014582,534429052.350086
61.8906,0.927562,0.913838,317.543,1.03639,534429052.350103
61.0313,0.927562,0.913838,318.1406,1.057279,534429052.366152
60.2344,0.927562,0.913838,318.7383,1.073188,534429052.366225
59.4375,0.927562,0.913838,319.4063,1.092567,534429052.366243
58.7188,0.927562,0.913838,320.0039,1.106405,534429052.366262
57.9844,0.927562,0.913838,320.6719,1.123415,534429052.381762
57.25,0.927562,0.913838,321.3281,1.140074,534429052.381868
56.6563,0.927562,0.913838,321.9258,1.178378,534429052.381894
55.9219,0.927562,0.913838,322.793,1.191042,534429052.381913
55.2656,0.927562,0.913838,323.5898,1.211646,534429052.397484
54.6719,0.927562,0.913838,324.4453,1.228372,534429052.397566
54.0625,0.927562,0.913838,325.3125,1.222522,534429052.397585
53.5313,0.927562,0.913838,326.1797,1.239058,534429052.397603
52.9375,0.927562,0.913838,327.1641,1.259691,534429052.414686
52.4063,0.927562,0.913838,328.1016,1.276216,534429052.414764
51.875,0.927562,0.913838,329.0977,1.26352,534429052.414782
51.4219,0.927562,0.911442,330.0234,1.279456,534429052.414799
50.9531,0.927562,0.906987,331.0898,1.295676,534429052.431187
50.5469,0.927562,0.90189,332.0156,1.284686,534429052.43128
50.0938,0.927562,0.896565,333.0117,1.301112,534429052.431297
49.625,0.927562,0.890294,334.1367,1.311516,534429052.431313
49.1563,0.927562,0.885213,335.1328,1.32544,534429052.448407
48.6875,0.927562,0.880208,336.1992,1.360906,534429052.448488
48.2344,0.927562,0.875004,337.2539,1.372488,534429052.448505
47.8281,0.927562,0.869633,338.25,1.385215,534429052.448521
47.4375,0.927562,0.864186,339.375,1.397836,534429052.465053
47.0313,0.927562,0.858678,340.4414,1.441471,534429052.465147
46.7031,0.927562,0.85381,341.4961,1.453758,534429052.465172
46.4375,0.927562,0.849309,342.5625,1.466854,534429052.465218
46.1094,0.927562,0.84499,343.6875,1.469514,534429052.480471
45.8438,0.927562,0.840855,344.8242,1.483032,534429052.480604
45.5781,0.927562,0.837163,346.0078,1.501527,534429052.480622
45.3125,0.927562,0.833348,347.2734,1.512,534429052.480638
45.0469,0.927562,0.830357,348.3984,1.534983,534429052.497176
44.7813,0.927562,0.827077,349.6641,1.556604,534429052.497261
44.4531,0.927562,0.822652,351.1875,1.572572,534429052.497279
44.25,0.927562,0.819035,352.3125,1.555221,534429052.497296
43.9844,0.927562,0.814641,353.7773,1.573587,534429052.513807
43.6563,0.927562,0.809254,355.3008,1.58611,534429052.513888
43.3906,0.927562,0.804066,356.7656,1.600228,534429052.513905
43.125,0.927562,0.799885,357.8906,1.587112,534429052.513928
42.8594,0.927562,0.794209,359.4844,1.599412,534429052.530602
42.5938,0.927562,0.789586,360.6797,1.608014,534429052.530732
42.3906,0.927562,0.784444,362.1328,1.627555,534429052.530774
42.125,0.927562,0.778767,363.5273,1.634649,534429052.530792
42,0.927562,0.775075,364.793,1.648158,534429052.547258
41.7969,0.927562,0.770848,366.2461,1.658044,534429052.547339
41.6563,0.927562,0.767537,367.7109,1.645876,534429052.547357
41.5938,0.927562,0.765355,368.9063,1.655931,534429052.547374
41.5938,0.927562,0.763188,370.3594,1.668601,534429052.564445
41.5938,0.927562,0.761143,371.6953,1.678107,534429052.564534
41.5938,0.927562,0.75861,373.2188,1.651884,534429052.564555
41.5938,0.927562,0.756062,374.4141,1.659765,534429052.56457
41.5938,0.927562,0.752217,376.0078,1.66819,534429052.581408
41.5938,0.927562,0.748204,377.4023,1.675193,534429052.581497
41.5938,0.927562,0.744633,378.6563,1.685356,534429052.581516
41.6563,0.927562,0.73885,380.0508,1.688089,534429052.581532
41.7344,0.927562,0.733174,381.3164,1.697636,534429052.59757
41.8594,0.927562,0.727147,382.6406,1.710696,534429052.597693
41.9219,0.927562,0.721135,384.0352,1.717602,534429052.597723
42.0625,0.927562,0.717183,385.1602,1.722044,534429052.597764
42.1875,0.927562,0.714558,386.5547,1.730049,534429052.613854
42.3281,0.927562,0.712742,387.8203,1.722948,534429052.613936
42.5156,0.927562,0.711735,389.2734,1.72885,534429052.613954
42.6563,0.927562,0.711384,390.4688,1.733812,534429052.613971
42.8594,0.927562,0.711003,392.1328,1.714427,534429052.630327
43.0469,0.927562,0.71024,393.5859,1.719436,534429052.63041
43.25,0.927562,0.70908,394.9102,1.725679,534429052.630429
43.3906,0.927562,0.705907,396.4453,1.729721,534429052.630445
43.6563,0.927562,0.70226,397.7695,1.698829,534429052.648289
43.8438,0.927562,0.697636,399.1641,1.702037,534429052.648386
44.1094,0.927562,0.691518,400.6875,1.705593,534429052.648406
44.375,0.927562,0.686879,401.8125,1.69294,534429052.648426
44.6406,0.927562,0.682042,403.1367,1.695292,534429052.66407
44.9063,0.927562,0.677342,404.332,1.694565,534429052.664188
45.1719,0.927562,0.672917,405.5273,1.695632,534429052.664207
45.4375,0.927562,0.669224,406.5938,1.691349,534429052.664224
45.7031,0.927562,0.666447,407.7188,1.691412,534429052.680274
46.0469,0.927562,0.664403,408.7852,1.688232,534429052.680357
46.3125,0.927562,0.662648,409.8398,1.687538,534429052.68038
46.6406,0.927562,0.660878,410.8359,1.701903,534429052.680397
46.9688,0.927562,0.659352,411.9023,1.701202,534429052.696929
47.2969,0.927562,0.658757,412.8984,1.700455,534429052.697009
47.7031,0.927562,0.658147,413.9531,1.709415,534429052.697028
48.0313,0.927562,0.657506,414.8906,1.709886,534429052.697044
48.5,0.927562,0.656544,415.8867,1.71008,534429052.713484
48.8906,0.927562,0.655583,416.8125,1.711496,534429052.713565
49.3594,0.927562,0.6545,417.7383,1.710779,534429052.713583
49.8281,0.927562,0.653401,418.5352,1.712342,534429052.713599
50.3594,0.927562,0.651982,419.4609,1.713213,534429052.730593
50.8906,0.927562,0.65041,420.2578,1.71648,534429052.73069
51.3438,0.927562,0.649266,420.9258,1.719084,534429052.730708
51.875,0.927562,0.647572,421.7227,1.720178,534429052.73073
52.3438,0.927562,0.64629,422.3789,1.723143,534429052.74767
52.8125,0.927562,0.645192,422.9766,1.745057,534429052.747802
53.3438,0.927562,0.643788,423.5742,1.747143,534429052.747849
53.7969,0.927562,0.642415,424.1719,1.749587,534429052.747887
54.3281,0.927562,0.641133,424.7109,1.752537,534429052.765261
54.8594,0.927562,0.640111,425.168,1.750419,534429052.765353
55.3906,0.927562,0.639134,425.6367,1.75271,534429052.765375
55.9219,0.927562,0.637913,426.0352,1.754796,534429052.765394
56.5938,0.927562,0.637227,426.3633,1.721309,534429052.781947
57.1875,0.927562,0.636784,426.6328,1.722937,534429052.782031
57.8438,0.927562,0.636723,426.832,1.725255,534429052.782055
58.6406,0.927562,0.636723,427.0313,1.72652,534429052.78208
59.375,0.927562,0.636723,427.0898,1.728853,534429052.798969
60.1719,0.927562,0.636723,427.0898,1.730573,534429052.799055
61.1719,0.927562,0.636723,427.0898,1.731259,534429052.799076
62.0313,0.928172,0.636723,427.0898,1.643778,534429052.799096
63.0313,0.92921,0.636723,427.0898,1.593551,534429052.815182
64.0156,0.929836,0.636723,427.0898,1.566004,534429052.815266
65.0781,0.93008,0.636723,426.9609,1.530708,534429052.815283
66.0781,0.93008,0.636723,426.7617,1.502987,534429052.8153
67.2031,0.93008,0.636723,426.5625,1.48793,534429052.831139
