x,l,a,y,p,t
59.9688,0.866344,0.774296,154.3945,0.333333,534429111.224011
59.5156,0.866344,0.774296,154.3945,0.333333,534429111.252497
59.0469,0.866344,0.774296,154.3945,0.333333,534429111.252721
58.6406,0.866344,0.774296,154.3242,0.333333,534429111.281892
58.375,0.866344,0.774296,154.2539,0.333333,534429111.311284
58.1094,0.866344,0.774296,154.2539,0.333333,534429111.311412
57.9219,0.866344,0.774296,154.2539,0.333333,534429111.311453
57.7813,0.866344,0.774296,154.2539,0.333333,534429111.3115
57.7188,0.866344,0.774296,154.2539,0.333333,534429111.311534
57.6563,0.866344,0.774296,154.2539,0.333333,534429111.311785
57.6563,0.866344,0.774296,154.2539,0.333333,534429111.311849
57.6563,0.866344,0.774296,154.2539,0.333333,534429111.311883
57.6563,0.866344,0.774296,154.2539,0.333333,534429111.311913
57.7188,0.866344,0.774296,154.3945,0.333333,534429111.311942
57.8438,0.866344,0.774296,154.5234,0.333333,534429111.311973
57.9844,0.866344,0.774296,154.7227,0.333333,534429111.312005
58.1094,0.866344,0.774296,154.8516,0.333333,534429111.312056
58.1875,0.866344,0.774296,155.0508,0.333333,534429111.312092
58.25,0.866344,0.774296,155.25,0.333333,534429111.312138
58.25,0.866344,0.774296,155.5195,0.333333,534429111.312169
58.25,0.866344,0.774296,155.7188,0.241836,534429111.312221
58.25,0.866344,0.774296,155.9883,0.243528,534429111.312258
58.25,0.866344,0.774296,156.1875,0.24918,534429111.330594
58.25,0.866344,0.774296,156.4453,0.227417,534429111.330867
58.1875,0.866344,0.774296,156.7148,0.204128,534429111.330897
58.0469,0.866344,0.774296,156.9844,0.21011,534429111.330926
57.9219,0.866344,0.774296,157.2422,0.211948,534429111.330958
57.7813,0.866344,0.774296,157.582,0.238443,534429111.330984
57.6563,0.866344,0.774296,157.8398,0.24061,534429111.331008
57.4531,0.866344,0.774296,158.168,0.245407,534429111.340417
57.3125,0.866344,0.774296,158.5078,0.268668,534429111.340517
57.125,0.866344,0.774296,158.9063,0.27414,534429111.340546
56.9844,0.866344,0.774296,159.1641,0.278342,534429111.340575
