x,l,a,y,p,t
41.5938,0.701152,0.753621,342.9609,0.333333,534429155.808906
40.3281,0.701152,0.753621,342.9609,0.333333,534429155.827965
38.9375,0.701152,0.753621,342.7617,0.333333,534429155.844051
37.5469,0.701152,0.753621,342.7617,0.333333,534429155.859261
36.625,0.701152,0.753621,343.1602,0.333333,534429155.859397
35.5625,0.701152,0.753621,344.2266,0.333333,534429155.85946
34.8281,0.701152,0.753621,345.2813,0.333333,534429155.859525
34.1563,0.701152,0.753621,346.5469,0.333333,534429155.859573
33.7031,0.701152,0.753621,347.8008,0.333333,534429155.859621
33.2344,0.701152,0.753621,349.3945,0.333333,534429155.859677
32.9688,0.701152,0.753621,350.9883,0.333333,534429155.859724
32.7656,0.701152,0.753621,352.7813,0.333333,534429155.859767
32.7656,0.701152,0.753621,354.375,0.475,534429155.859813
32.7656,0.701152,0.753621,356.5664,0.478079,534429155.859857
32.7656,0.701152,0.753621,358.6172,0.465413,534429155.900399
33.0313,0.701152,0.753621,361.0781,0.452746,534429155.900538
33.5,0.701152,0.753621,362.8711,0.475961,534429155.900596
34.2344,0.701152,0.753621,365.3906,0.446761,534429155.900661
34.9531,0.701152,0.753621,367.5117,0.440208,534429155.900814
35.6875,0.701152,0.753621,369.5625,0.43768,534429155.900852
36.6875,0.701152,0.753621,371.8242,0.449753,534429155.900887
37.6719,0.701152,0.753621,373.8164,0.425945,534429155.900922
38.7344,0.701152,0.753621,375.668,0.399223,534429155.900957
40.0625,0.701152,0.753621,377.7305,0.38371,534429155.900991
41.125,0.701152,0.753621,378.9844,0.389515,534429155.901026
42.4531,0.701152,0.753621,380.3789,0.349362,534429155.91588
43.7813,0.701152,0.753621,381.5156,0.308991,534429155.915966
45.1719,0.701152,0.753621,382.3711,0.304252,534429155.915995
46.5781,0.701152,0.753621,382.9688,0.303941,534429155.916021
48.1563,0.701152,0.753621,383.2969,0.298333,534429155.931788
49.6875,0.702632,0.753621,383.4375,0.297237,534429155.931887
51.3438,0.706096,0.753621,383.4375,0.291673,534429155.931909
53.1406,0.709895,0.753621,383.3672,0.328912,534429155.931936
54.7344,0.713664,0.753621,382.9102,0.364784,534429155.947841
56.3906,0.717525,0.753621,382.1719,0.363366,534429155.947978
58.1875,0.721401,0.753621,381.2461,0.398688,534429155.948024
59.7031,0.725032,0.753621,380.25,0.398779,534429155.948067
61.2969,0.727977,0.753621,378.9258,0.400944,534429155.964165
62.7656,0.730144,0.753621,377.5313,0.401444,534429155.964245
64.3594,0.731334,0.753621,375.668,0.426881,534429155.964264
65.4844,0.731929,0.753621,374.2148,0.452318,534429155.964318
66.9375,0.731929,0.753621,371.9531,0.464479,534429155.980314
68.2031,0.731929,0.753621,369.832,0.470441,534429155.980393
69.5313,0.731929,0.753621,367.4414,0.479521,534429155.98042
70.8594,0.731929,0.753621,364.9922,0.485603,534429155.980436
72.1094,0.731929,0.753621,362.4727,0.503093,534429155.997204
73.5156,0.731929,0.753621,359.4141,0.479696,534429155.997284
74.7656,0.731929,0.753621,356.2266,0.488802,534429155.997303
75.9688,0.731929,0.753621,353.1797,0.497448,534429155.99732
77.2969,0.731929,0.753621,349.5938,0.50745,534429156.013799
78.4844,0.731929,0.753621,346.207,0.514524,534429156.013877
79.6875,0.731929,0.753621,342.6914,0.51968,534429156.013896
80.8125,0.731929,0.753621,339.4453,0.526512,534429156.013913
82,0.731929,0.753621,335.9297,0.549317,534429156.030124
83,0.731929,0.753621,332.7422,0.555601,534429156.030202
83.7344,0.731929,0.753621,330.0234,0.562053,534429156.030222
84.2656,0.731929,0.753621,327.5625,0.566439,534429156.030239
84.5938,0.731929,0.753621,325.5117,0.590918,534429156.047291
84.6563,0.731929,0.753621,323.6484,0.597382,534429156.047368
84.6563,0.731929,0.753621,322.3242,0.605954,534429156.047388
84.5938,0.731929,0.753621,321.0703,0.633545,534429156.047405
83.8594,0.731929,0.753621,319.9336,0.64576,534429156.06361
82.8594,0.731929,0.753621,319.0781,0.654535,534429156.063689
81.5313,0.731929,0.753621,318.3398,0.666484,534429156.063708
80.2031,0.731929,0.753621,317.7422,0.67585,534429156.063725
78.5469,0.731929,0.753621,317.1563,0.691884,534429156.08056
