x,l,a,y,p,t
58.5781,0.995601,-2.571636,318.7383,0.333333,534429231.448036
58.5781,0.995601,-2.571636,318.3398,0.333333,534429231.471977
58.7188,0.995601,-2.571636,318.2109,0.333333,534429231.472178
58.8438,0.995601,-2.571636,318.0117,0.333333,534429231.472247
59.0469,0.995601,-2.571636,317.8828,0.333333,534429231.472303
59.1719,0.995601,-2.571636,317.6836,0.333333,534429231.47241
59.3125,0.995601,-2.571636,317.4844,0.368229,534429231.48465
59.5156,0.995601,-2.571636,317.2148,0.393229,534429231.484753
59.6406,0.995601,-2.571636,316.957,0.424479,534429231.507232
59.7813,0.995601,-2.571636,316.6875,0.457813,534429231.507362
59.9063,0.995601,-2.571636,316.3594,0.491146,534429231.507418
59.9688,0.995601,-2.571636,316.0898,0.499475,534429231.507465
60.1094,0.995601,-2.571636,315.7617,0.541142,534429231.507532
60.1719,0.995601,-2.571636,315.4922,0.566142,534429231.507603
60.2344,0.995601,-2.571636,315.1641,0.607808,534429231.523756
60.2344,0.995601,-2.571636,314.8945,0.6776,534429231.523873
60.2344,0.995601,-2.571636,314.625,0.710933,534429231.52392
60.2344,0.995601,-2.571636,314.2969,0.744267,534429231.523951
60.1094,0.995601,-2.571636,313.9688,0.785933,534429231.539921
59.8438,0.995601,-2.571636,313.5703,0.858333,534429231.540005
59.4375,0.995601,-2.571636,313.2305,0.891667,534429231.540031
59.1094,0.995601,-2.571636,312.832,0.925,534429231.540058
58.5781,0.995601,-2.571636,312.5039,0.933333,534429231.55635
58.0469,0.995601,-2.571636,312.2461,0.941667,534429231.556446
57.4531,0.995601,-2.571636,312.0469,0.983333,534429231.55647
56.8594,0.995601,-2.571636,311.9063,1.008333,534429231.556494
56.125,0.995601,-2.571636,311.8477,1.028904,534429231.573223
55.2656,0.995601,-2.571636,311.8477,1.041142,534429231.573304
54.3281,0.995601,-2.571636,311.8477,1.074475,534429231.573323
53.4688,0.995601,-2.571636,311.8477,1.107808,534429231.573341
52.3438,0.995601,-2.571636,312.3047,1.123611,534429231.589078
51.3438,0.995601,-2.571636,312.9023,1.13171,534429231.589162
50.0938,0.995601,-2.571636,313.6992,1.155393,534429231.589182
49.0938,0.995601,-2.571636,314.3672,1.184874,534429231.589198
47.7656,0.995601,-2.571636,315.4219,1.199068,534429231.605603
