x,l,a,y,p,t
46.4375,1.08633,0.471043,323.1211,0.333333,534429394.295964
46.375,1.08633,0.471043,323.1211,0.333333,534429394.324184
45.9688,1.08633,0.471043,323.1211,0.333333,534429394.324409
45.7031,1.08633,0.471043,323.1211,0.333333,534429394.351903
45.4375,1.08633,0.471043,323.1211,0.333333,534429394.38022
45.3125,1.08633,0.471043,323.1211,0.333333,534429394.380708
45.1094,1.08633,0.471043,323.1211,0.333333,534429394.380761
44.9844,1.08633,0.471043,323.1211,0.333333,534429394.380809
44.8438,1.08633,0.471043,323.1211,0.333333,534429394.380943
44.7813,1.08633,0.471043,322.9922,0.333333,534429394.38107
44.6406,1.08633,0.471043,322.793,0.333333,534429394.381113
44.5781,1.08633,0.471043,322.5938,0.333333,534429394.381145
44.5156,1.08633,0.471043,322.3945,0.333333,534429394.381192
44.4531,1.08633,0.471043,322.1953,0.333333,534429394.381232
44.375,1.08633,0.471043,322.0664,0.333333,534429394.381263
44.3125,1.08633,0.471043,321.9258,0.333333,534429394.381327
44.1875,1.08633,0.471043,321.7969,0.333333,534429394.381387
44.1094,1.08633,0.471043,321.7266,0.15,534429394.381424
43.9844,1.08633,0.471043,321.668,0.054167,534429394.381496
43.9219,1.08633,0.471043,321.5977,0.336174,534429394.381606
43.7813,1.08633,0.471043,321.5977,0.580595,534429394.381638
43.7188,1.08633,0.471043,321.5977,0.83282,534429394.392894
43.5781,1.08633,0.471043,321.5977,0.97303,534429394.392999
43.4531,1.08633,0.471043,321.668,1.07726,534429394.39308
43.25,1.08633,0.471043,321.8672,1.161284,534429394.393114
43.0469,1.08633,0.471043,322.1953,1.215796,534429394.393147
42.7813,1.08633,0.471043,322.5234,1.262496,534429394.393226
42.5938,1.08633,0.471043,322.8516,1.295829,534429394.393269
42.25,1.08633,0.471043,323.1914,1.329162,534429394.411068
41.9219,1.08633,0.471043,323.5898,1.362496,534429394.411181
41.5938,1.08633,0.471043,324.0469,1.440104,534429394.411204
41.2656,1.08633,0.471043,324.5156,1.465104,534429394.411223
40.8594,1.08633,0.471043,325.1133,1.506771,534429394.426353
40.5313,1.08633,0.471043,325.7109,1.557292,534429394.426449
