x,l,a,y,p,t
80.7344,1.195766,0.269856,341.0977,0.333333,534429442.156253
80.8125,1.195766,0.269856,341.0977,0.333333,534429442.18928
80.8125,1.195766,0.269856,341.0977,0.333333,534429442.189584
80.8125,1.195766,0.269856,341.168,0.333333,534429442.232081
80.8125,1.195766,0.269856,341.2383,0.333333,534429442.232192
80.875,1.195766,0.269856,341.2383,0.333333,534429442.232313
81,1.195766,0.269856,341.2383,0.333333,534429442.23235
81.2031,1.195766,0.269856,341.2383,0.333333,534429442.2324
81.4688,1.195766,0.269856,341.2383,0.333333,534429442.232493
81.7969,1.195766,0.269856,341.2383,0.333333,534429442.232596
82.1406,1.195766,0.269856,341.0977,0.333333,534429442.232729
82.5938,1.195766,0.269856,340.7695,0.333333,534429442.232785
83.0625,1.195766,0.269856,340.4414,0.333333,534429442.232824
83.5938,1.195766,0.269856,340.043,0.333333,534429442.232869
84.0625,1.195766,0.269856,339.6445,0.333333,534429442.23296
84.5938,1.195766,0.269856,339.1172,0.431544,534429442.233022
85.0469,1.195766,0.269856,338.6484,0.494382,534429442.233072
85.5781,1.195766,0.269856,338.1797,0.469478,534429442.23311
85.9844,1.195766,0.269856,337.7227,0.459279,534429442.233177
86.5156,1.195766,0.269856,337.2539,0.458092,534429442.24446
86.9063,1.195766,0.269856,336.7852,0.444727,534429442.244617
87.3125,1.195766,0.269856,336.3281,0.429912,534429442.244668
87.7031,1.195766,0.269856,335.8594,0.415098,534429442.244695
88.0469,1.195766,0.269856,335.4023,0.429908,534429442.244728
88.375,1.195766,0.269856,334.9336,0.428581,534429442.244816
88.7031,1.195766,0.269856,334.4648,0.435411,534429442.244852
88.9688,1.195766,0.269856,334.0078,0.44793,534429442.265137
89.2344,1.195766,0.269856,333.5391,0.462753,534429442.265231
89.4375,1.195766,0.269856,333.0117,0.471309,534429442.265255
89.625,1.195766,0.269856,332.4727,0.481942,534429442.265278
89.8281,1.195766,0.269856,331.9453,0.489324,534429442.2653
90.0313,1.195766,0.269856,331.3477,0.511204,534429442.281699
90.2344,1.195766,0.269856,330.8203,0.521712,534429442.281792
