x,l,a,y,p,t
117.8906,0.903179,0.848271,313.1016,0.333333,534428264.834901
117.5,0.903179,0.848271,312.6445,0.333333,534428264.865918
117.1094,0.903179,0.848271,312.1055,0.333333,534428264.889825
116.7031,0.903179,0.848271,311.707,0.333333,534428264.890186
116.3125,0.903179,0.848271,311.3086,0.333333,534428264.890269
115.9688,0.903179,0.848271,310.9102,0.333333,534428264.890329
115.5781,0.903179,0.848271,310.5117,0.333333,534428264.890427
115.1719,0.903179,0.848271,310.1133,0.333333,534428264.890474
114.7188,0.903179,0.848271,309.7148,0.186719,534428264.890667
114.25,0.903179,0.848271,309.3164,0.113411,534428264.890722
113.7188,0.903179,0.848271,308.9883,0.119218,534428264.890778
113.1875,0.903179,0.848271,308.6602,0.127039,534428264.925857
112.6563,0.903179,0.848271,308.3203,0.136814,534428264.926057
112.125,0.903179,0.848271,308.0625,0.142679,534428264.926143
111.4688,0.903179,0.848271,307.7344,0.126643,534428264.926324
110.8594,0.903179,0.848271,307.3945,0.131949,534428264.926461
110.1406,0.903179,0.848271,307.1367,0.129199,534428264.926528
109.5313,0.903179,0.848271,306.9375,0.133896,534428264.926599
108.7344,0.903179,0.848271,306.7383,0.139767,534428264.926799
108.0156,0.903179,0.848271,306.5391,0.144463,534428264.92686
107.1563,0.903179,0.848271,306.3398,0.144912,534428264.927003
106.4844,0.903179,0.848271,306.2695,0.149383,534428264.927093
105.4844,0.903179,0.848271,306.1992,0.153855,534428264.960824
104.5625,0.903179,0.848271,306.1992,0.158327,534428264.960933
103.5,0.903179,0.848271,306.1992,0.144324,534428264.960975
102.5,0.903179,0.848271,306.1992,0.145321,534428264.961008
101.25,0.903179,0.848271,306.1992,0.149238,534428264.961037
100.1094,0.903179,0.848271,306.1992,0.152141,534428264.961246
98.7813,0.903179,0.848271,306.3398,0.15523,534428264.9613
97.5313,0.903179,0.848271,306.4688,0.158706,534428264.961338
96.1406,0.903179,0.848271,306.668,0.162635,534428264.974612
94.6094,0.903179,0.848271,306.9375,0.137401,534428264.974702
93.1563,0.903179,0.848271,307.1953,0.139019,534428264.97473
91.8906,0.903179,0.848271,307.4648,0.138414,534428264.974757
90.1563,0.903179,0.848271,307.9922,0.175995,534428264.986246
88.7031,0.903179,0.848271,308.4609,0.177308,534428264.986334
87.375,0.903179,0.848271,309.0586,0.179398,534428264.986363
85.8438,0.903179,0.848271,309.7852,0.180185,534428264.986388
84.3906,0.903179,0.848271,310.6523,0.215093,534428265.006321
83,0.903179,0.848271,311.4492,0.218645,534428265.006435
81.6094,0.903179,0.848271,312.4453,0.221859,534428265.006492
80.4063,0.903179,0.848271,313.3711,0.227942,534428265.006541
79.0156,0.903179,0.848271,314.5664,0.233259,534428265.022633
77.8281,0.903179,0.848271,315.6914,0.239864,534428265.022728
76.5,0.903179,0.848271,316.957,0.245016,534428265.022751
75.3594,0.903179,0.848271,318.1406,0.229271,534428265.022776
74.1094,0.903179,0.848271,319.5352,0.234448,534428265.039464
72.9844,0.903179,0.848271,320.8008,0.241042,534428265.039582
71.8438,0.903179,0.848271,322.1953,0.249107,534428265.03961
70.7188,0.903179,0.848271,323.7188,0.253483,534428265.039633
69.7344,0.903179,0.848271,325.1836,0.260776,534428265.055128
68.7969,0.903179,0.848271,326.6367,0.26601,534428265.055207
67.7969,0.903179,0.847142,328.3594,0.247222,534428265.055226
66.875,0.903179,0.844014,329.9531,0.225815,534428265.055244
66.0156,0.903179,0.840153,331.8164,0.225042,534428265.071692
65.2188,0.903179,0.835728,333.4688,0.226841,534428265.071772
64.5469,0.903179,0.831196,335.1328,0.253679,534428265.071792
64.0938,0.903179,0.827733,336.7266,0.253689,534428265.071809
63.625,0.903179,0.824879,338.3789,0.253292,534428265.088253
63.2188,0.903179,0.821706,339.9727,0.254349,534428265.088333
63.0313,0.903179,0.819737,341.4961,0.281099,534428265.088351
62.8281,0.903179,0.817799,343.2305,0.306359,534428265.088368
62.7656,0.903179,0.816426,345.0234,0.312808,534428265.105068
62.6875,0.903179,0.81519,346.8047,0.334612,534428265.105147
62.6875,0.903179,0.813771,348.668,0.341423,534428265.105165
62.6875,0.903179,0.81168,350.4609,0.347051,534428265.105183
62.7656,0.903179,0.809025,352.3828,0.358381,534428265.121367
63.0313,0.903179,0.805669,354.2461,0.343922,534428265.121445
63.4844,0.903179,0.800572,356.168,0.352196,534428265.121464
64.0156,0.903179,0.79456,357.8906,0.359235,534428265.12148
64.8125,0.903179,0.786809,360.0117,0.368787,534428265.138274
65.4844,0.903179,0.780934,361.6055,0.376346,534428265.138354
66.2813,0.903179,0.775654,363.4688,0.387925,534428265.138372
67.2656,0.903179,0.770802,365.3203,0.391855,534428265.138389
68.2031,0.903179,0.768529,367.1133,0.35446,534428265.154855
69.2031,0.903179,0.76682,368.9063,0.337178,534428265.154933
70.4531,0.903179,0.765752,371.0273,0.315163,534428265.154952
71.4531,0.903179,0.765309,372.5508,0.317935,534428265.154969
72.7813,0.903179,0.765126,374.4141,0.30323,534428265.17164
74.2344,0.903179,0.764592,376.3359,0.303625,534428265.171744
75.7031,0.903179,0.763753,378.0586,0.298972,534428265.171763
76.8281,0.903179,0.762547,379.3828,0.30066,534428265.171781
78.5469,0.903179,0.760976,381.0469,0.297988,534428265.188575
79.8125,0.903179,0.759373,382.2422,0.296548,534428265.188663
81.3438,0.903179,0.757909,383.4961,0.29216,534428265.188684
82.7344,0.903179,0.756108,384.4922,0.307588,534428265.188711
84.2656,0.903179,0.754643,385.3594,0.305824,534428265.204775
85.7188,0.903179,0.753422,386.0859,0.304446,534428265.204853
87.25,0.903179,0.752293,386.6836,0.318916,534428265.204871
88.6406,0.903179,0.751439,387.0234,0.318517,534428265.204888
90.2969,0.903179,0.751179,387.2227,0.319501,534428265.221962
91.8906,0.903179,0.751179,387.2227,0.319574,534428265.22204
93.6094,0.903179,0.751179,387.2227,0.322278,534428265.222059
95.2656,0.903179,0.751179,387.2227,0.322864,534428265.222074
97.3906,0.903179,0.751179,386.7539,0.326124,534428265.238394
98.9844,0.903179,0.751179,386.2266,0.336581,534428265.238471
100.9844,0.903179,0.751179,385.5586,0.365052,534428265.23849
102.9688,0.903179,0.751179,384.7617,0.366982,534428265.238507
104.7656,0.903179,0.751179,383.8945,0.372142,534428265.255083
106.625,0.903179,0.751179,383.0391,0.368965,534428265.255172
108.7344,0.903179,0.751179,381.9141,0.373046,534428265.255192
110.3281,0.903179,0.751179,381.0469,0.376472,534428265.25521
112.3281,0.903179,0.751179,379.9219,0.382461,534428265.271474
114.1875,0.903179,0.751179,378.8555,0.369918,534428265.27155
116.1719,0.903179,0.751179,377.5313,0.373521,534428265.271568
117.625,0.903179,0.751179,376.6055,0.376896,534428265.271585
119.5625,0.903179,0.751179,375.1406,0.359789,534428265.28836
120.9531,0.903179,0.751179,374.0742,0.362298,534428265.288438
122.5469,0.903179,0.751179,372.75,0.364825,534428265.288455
124.0625,0.903179,0.751179,371.3555,0.366574,534428265.288472
125.3281,0.903179,0.751179,370.1602,0.358502,534428265.304722
126.5938,0.903179,0.751179,368.8359,0.359822,534428265.304801
127.8438,0.903179,0.751179,367.5117,0.359536,534428265.304819
128.9063,0.903179,0.751179,366.3164,0.360371,534428265.304835
129.9063,0.903179,0.751179,365.1914,0.358111,534428265.321407
130.8438,0.903179,0.751179,363.9961,0.358352,534428265.321485
131.8281,0.903179,0.751179,362.6719,0.356,534428265.321504
132.5,0.903179,0.751179,361.6055,0.328336,534428265.321519
133.3594,0.903179,0.751179,360.2813,0.326871,534428265.338062
133.9531,0.903179,0.751179,359.1563,0.325909,534428265.338169
134.625,0.903179,0.751179,357.9609,0.323075,534428265.3382
135.1563,0.903179,0.751179,356.625,0.307128,534428265.338218
135.6094,0.903179,0.751179,355.5,0.303578,534428265.355112
136.0781,0.903179,0.751179,354.2461,0.299846,534428265.355188
136.4063,0.903179,0.751179,352.9805,0.307333,534428265.355207
136.6719,0.903179,0.751179,351.7852,0.30403,534428265.355223
136.9375,0.903179,0.751179,350.5195,0.300338,534428265.37178
137.1406,0.903179,0.751179,349.3359,0.296243,534428265.371883
137.2656,0.903179,0.752934,348.0703,0.303109,534428265.371901
137.3438,0.903179,0.75623,346.9453,0.299896,534428265.371917
137.4688,0.903179,0.759114,345.6797,0.296968,534428265.388006
137.5313,0.903179,0.761677,344.4844,0.293634,534428265.388091
137.6094,0.903179,0.76357,343.2891,0.303488,534428265.388108
137.6719,0.903179,0.765233,342.0352,0.302129,534428265.388124
137.6719,0.903179,0.766484,340.9102,0.299357,534428265.405008
