x,l,a,y,p,t
92.625,0.94009,0.702321,365.918,0.333333,534428308.014459
92.6875,0.94009,0.702321,365.8477,0.333333,534428308.032773
92.75,0.94009,0.702321,365.4492,0.265625,534428308.032874
92.8125,0.94009,0.702321,364.9922,0.231771,534428308.043887
92.8125,0.94009,0.702321,364.5938,0.197917,534428308.044006
92.8906,0.94009,0.702321,364.1953,0.197917,534428308.044047
92.8906,0.94009,0.702321,363.7969,0.197917,534428308.044077
92.8906,0.94009,0.702321,363.3281,0.197917,534428308.061472
92.8906,0.94009,0.702321,362.7305,0.232311,534428308.061548
92.8906,0.94009,0.702321,362.1328,0.237909,534428308.061573
92.8906,0.94009,0.702321,361.5352,0.241268,534428308.061594
92.8906,0.94009,0.702321,360.8789,0.246866,534428308.077023
92.6875,0.94009,0.702321,360.2109,0.251345,534428308.077169
92.4219,0.94009,0.702321,359.6133,0.335276,534428308.077214
92.1563,0.94009,0.702321,358.957,0.3856,534428308.077238
91.75,0.94009,0.702321,358.2891,0.440105,534428308.09365
91.4219,0.94009,0.702321,357.6914,0.456824,534428308.093727
90.9531,0.94009,0.702321,357.0938,0.505716,534428308.093759
90.625,0.94009,0.702321,356.4961,0.525276,534428308.093779
90.0938,0.94009,0.702321,355.7695,0.544837,534428308.110315
89.7656,0.94009,0.702321,355.1719,0.53241,534428308.110389
89.2969,0.94009,0.702321,354.5039,0.556199,534428308.11041
88.8438,0.94009,0.702321,353.7773,0.570473,534428308.110431
88.4375,0.94009,0.702321,353.0508,0.594261,534428308.126047
87.9063,0.94009,0.702321,352.1836,0.578796,534428308.126122
87.4375,0.94009,0.702321,351.2578,0.56531,534428308.12614
86.9844,0.94009,0.702321,350.3906,0.582914,534428308.126156
86.4531,0.94009,0.702321,349.3359,0.602021,534428308.141883
85.9219,0.94009,0.702321,348.3984,0.619073,534428308.141955
85.3125,0.94009,0.702321,347.4023,0.628358,534428308.141972
84.7188,0.94009,0.702321,346.5469,0.644338,534428308.141988
84,0.94009,0.702321,345.6211,0.653165,534428308.157996
83.2656,0.94009,0.702321,344.8242,0.666527,534428308.15807
82.4063,0.94009,0.702321,344.0859,0.671899,534428308.158089
81.5313,0.94009,0.702321,343.4883,0.680766,534428308.158106
80.4688,0.94009,0.702321,342.9609,0.731107,534428308.174052
79.4844,0.94009,0.702321,342.4922,0.778093,534428308.174127
78.3594,0.94009,0.702321,342.1641,0.792469,534428308.174146
77.2188,0.94009,0.702321,341.8945,0.811626,534428308.17423
75.9688,0.94009,0.702321,341.6953,0.832837,534428308.190468
74.7656,0.94009,0.702321,341.5664,0.848585,534428308.190541
73.5156,0.94009,0.702321,341.4961,0.870251,534428308.190562
72.375,0.94009,0.702321,341.4961,0.851746,534428308.190578
71.125,0.94009,0.702321,341.4961,0.835591,534428308.206702
70,0.94009,0.702321,341.4961,0.851681,534428308.206778
68.7969,0.94009,0.702321,341.5664,0.814408,534428308.206795
67.7969,0.94009,0.702321,341.8945,0.797307,534428308.206812
66.7344,0.94009,0.702321,342.293,0.783042,534428308.222765
65.75,0.94009,0.702321,342.6914,0.79437,534428308.222839
