x,l,a,y,p,t
60.0469,0.902583,0.433324,172.4414,0.333333,534428357.216014
58.9844,0.902583,0.433324,172.5703,0.333333,534428357.236846
57.6563,0.902583,0.433324,172.5703,0.333333,534428357.24713
56.6563,0.902583,0.433324,172.6406,0.333333,534428357.247244
55.7344,0.902583,0.433324,172.6992,0.333333,534428357.256416
55.0625,0.902583,0.433324,172.7695,0.333333,534428357.256514
54.3281,0.902583,0.433324,172.8398,0.333333,534428357.256547
53.7344,0.902583,0.433324,172.8984,0.333333,534428357.256593
53.0781,0.902583,0.433324,173.0391,0.333333,534428357.256619
52.6094,0.902583,0.433324,173.0977,0.333333,534428357.256646
52.2813,0.902583,0.433324,173.168,0.333333,534428357.256669
51.9375,0.902583,0.433324,173.2383,0.333333,534428357.256697
51.6719,0.902583,0.433324,173.3672,0.295833,534428357.256721
51.4219,0.902583,0.433324,173.4961,0.376108,534428357.272753
51.1563,0.902583,0.433324,173.6953,0.417608,534428357.27285
50.9531,0.902583,0.433324,173.9648,0.427951,534428357.272872
50.6875,0.902583,0.433324,174.3633,0.44519,534428357.296603
50.4219,0.902583,0.433324,174.8906,0.421865,534428357.296711
50.0156,0.902583,0.433324,175.6875,0.398539,534428357.296744
49.6875,0.902583,0.433324,176.4258,0.408014,534428357.296783
49.1563,0.902583,0.433324,177.4805,0.422698,534428357.296827
48.625,0.902583,0.433324,178.6055,0.430809,534428357.296849
48.0313,0.902583,0.433324,180.0703,0.43892,534428357.29687
47.5625,0.902583,0.433324,181.1953,0.447031,534428357.29689
46.9063,0.902583,0.433324,182.8594,0.477275,534428357.313232
46.3125,0.902583,0.433324,184.2539,0.485976,534428357.313342
45.8438,0.902583,0.433324,185.5781,0.496708,534428357.313361
45.25,0.902583,0.433324,187.1016,0.496328,534428357.313378
44.7188,0.902583,0.433324,188.4258,0.544061,534428357.329297
44.25,0.902583,0.433324,189.8203,0.552204,534428357.329419
43.7188,0.902583,0.433324,191.3438,0.560535,534428357.329448
43.4531,0.902583,0.433324,192.4805,0.57302,534428357.32947
43.125,0.902583,0.433324,193.8047,0.592654,534428357.345609
42.9219,0.902583,0.433324,195.0703,0.60312,534428357.345687
42.6563,0.902583,0.433324,196.5938,0.627022,534428357.345706
42.5156,0.902583,0.433324,197.7188,0.627789,534428357.345723
42.3906,0.902583,0.433324,199.3828,0.640186,534428357.362105
42.1875,0.902583,0.433324,201.0352,0.656533,534428357.362184
42,0.902583,0.433324,202.8281,0.645161,534428357.362202
41.7344,0.902583,0.433324,204.75,0.628078,534428357.362219
41.4688,0.902583,0.433324,206.6133,0.63977,534428357.378609
41.125,0.902583,0.433324,208.6055,0.65061,534428357.37869
40.7344,0.902583,0.433324,210.9258,0.639925,534428357.378709
40.4688,0.902583,0.433324,212.6484,0.648691,534428357.378735
40.2031,0.902583,0.431843,214.8398,0.655692,534428357.396354
39.875,0.902583,0.427922,216.9609,0.663588,534428357.396476
39.6094,0.902583,0.423451,219.3516,0.660838,534428357.396501
39.4063,0.902583,0.420369,221.0742,0.665392,534428357.396532
39.2031,0.902583,0.416417,223.5352,0.671903,534428357.413806
39.0781,0.902583,0.413609,225.3164,0.656288,534428357.41392
39,0.902583,0.41042,227.3789,0.661326,534428357.413943
38.875,0.902583,0.406239,229.5,0.664752,534428357.413965
38.875,0.902583,0.402028,231.3633,0.669704,534428357.430971
38.8125,0.902583,0.397359,233.2148,0.682275,534428357.431214
38.8125,0.902583,0.392476,235.0781,0.686685,534428357.431249
38.8125,0.902583,0.387303,236.8008,0.69114,534428357.431272
38.8125,0.902583,0.382313,238.5938,0.703112,534428357.448034
38.875,0.902583,0.377598,240.3164,0.707842,534428357.448112
39.1406,0.902583,0.373433,242.1094,0.712804,534428357.448134
39.4688,0.902583,0.369923,243.7031,0.717583,534428357.448153
39.9375,0.902583,0.3662,245.625,0.700983,534428357.464544
40.3281,0.902583,0.362889,247.3477,0.705152,534428357.464616
40.7969,0.902583,0.359166,249.2109,0.709317,534428357.464634
41.3281,0.902583,0.354481,251.0625,0.712282,534428357.464651
41.7344,0.902583,0.349599,252.7266,0.674961,534428357.480721
42.25,0.902583,0.344166,254.3789,0.677554,534428357.480797
42.7813,0.902583,0.337895,256.1133,0.679814,534428357.480816
43.3906,0.902583,0.331242,257.5664,0.643209,534428357.480833
43.9844,0.902583,0.324696,259.1602,0.642709,534428357.496868
44.6406,0.902583,0.31841,260.5547,0.642889,534428357.496947
45.3125,0.902583,0.313054,261.9492,0.639445,534428357.496964
45.9063,0.902583,0.309468,262.9453,0.624012,534428357.49698
46.7656,0.902583,0.304936,264.2695,0.619822,534428357.512364
47.5,0.902583,0.301915,265.1367,0.617268,534428357.512443
48.3594,0.902583,0.298787,266.0625,0.575966,534428357.5125
49.2969,0.902583,0.29546,266.8594,0.572627,534428357.512516
50.2188,0.902583,0.292897,267.5156,0.564777,534428357.52923
51.2188,0.902583,0.290272,268.0547,0.559552,534428357.529346
52.3438,0.902583,0.287816,268.582,0.528232,534428357.529421
53.4063,0.902583,0.285191,269.0508,0.521673,534428357.529441
54.5938,0.902583,0.282765,269.3789,0.510732,534428357.546722
55.7344,0.902583,0.280324,269.6484,0.503643,534428357.546814
56.8594,0.902583,0.277989,269.9063,0.466719,534428357.546832
57.8438,0.902583,0.275563,270.0469,0.457691,534428357.546855
58.8438,0.902583,0.273137,270.1055,0.447288,534428357.563693
59.6406,0.902583,0.271352,270.1055,0.476238,534428357.563782
60.5,0.902583,0.269124,270.1055,0.464015,534428357.5638
61.2969,0.902583,0.266286,270.1055,0.457086,534428357.563816
62.0313,0.902583,0.263951,269.9766,0.442511,534428357.579305
62.6875,0.902583,0.261815,269.5781,0.486655,534428357.579446
63.3594,0.902583,0.259541,268.9102,0.505897,534428357.57949
63.9531,0.902583,0.257573,268.2539,0.525139,534428357.579508
64.5469,0.902583,0.256367,267.2578,0.554132,534428357.595421
65.1563,0.902583,0.255818,266.2617,0.583663,534428357.595508
65.8125,0.902583,0.255818,264.7969,0.586146,534428357.595527
66.3438,0.902583,0.255818,263.4727,0.585412,534428357.595543
67,0.902583,0.255818,261.8086,0.595614,534428357.61236
67.6094,0.902583,0.255818,260.0859,0.596958,534428357.612441
68.1406,0.902583,0.255818,258.2344,0.616084,534428357.612494
68.7344,0.902583,0.255818,256.3125,0.585104,534428357.612511
69.2656,0.902583,0.255818,254.5781,0.576693,534428357.628784
69.8594,0.902583,0.255818,252.7266,0.581298,534428357.628863
70.3906,0.902583,0.255818,250.8047,0.589992,534428357.628882
70.9219,0.902583,0.255818,249.0703,0.610394,534428357.628899
71.5156,0.902583,0.255818,247.2773,0.61578,534428357.646396
72.0469,0.902767,0.255818,245.625,0.620248,534428357.64651
72.7188,0.903591,0.255818,244.0313,0.622001,534428357.646541
73.1719,0.904491,0.255818,242.8359,0.663221,534428357.64656
73.8438,0.905483,0.255818,241.2422,0.702741,534428357.662002
74.375,0.906459,0.255818,240.0469,0.708036,534428357.662079
74.9063,0.907497,0.255818,238.793,0.735426,534428357.662098
75.5,0.908595,0.255818,237.4688,0.740877,534428357.662113
76.0313,0.909618,0.255818,236.332,0.751978,534428357.678336
76.5625,0.910671,0.255818,235.0781,0.763735,534428357.678414
77.2188,0.911739,0.255818,233.6133,0.757941,534428357.678431
77.75,0.912792,0.255818,232.2188,0.770108,534428357.678447
78.4219,0.913844,0.255818,230.625,0.782947,534428357.695437
79.0781,0.914882,0.255818,229.0313,0.800318,534428357.69553
79.875,0.916011,0.255818,226.9805,0.812079,534428357.695565
80.4688,0.917049,0.255818,225.3867,0.830328,534428357.695583
81.2656,0.918041,0.255818,223.1367,0.843048,534428357.712156
81.875,0.919002,0.255818,221.3438,0.829056,534428357.712234
82.4688,0.919902,0.255818,219.1523,0.817507,534428357.712254
83.125,0.920696,0.255818,216.9609,0.82013,534428357.712271
83.6563,0.921367,0.255818,214.9688,0.831037,534428357.728853
84.1875,0.921901,0.255818,212.918,0.843933,534428357.728933
84.7813,0.922221,0.255818,210.5273,0.851516,534428357.728951
85.1875,0.922389,0.255818,208.7344,0.854844,534428357.728968
85.7188,0.922389,0.257008,206.6133,0.865272,534428357.745468
86.1094,0.922389,0.26357,204.6211,0.871919,534428357.745547
86.5781,0.922389,0.269658,202.6992,0.878786,534428357.745565
86.8438,0.922389,0.275517,200.9063,0.887081,534428357.745581
87.1094,0.922389,0.280476,199.043,0.873767,534428357.762313
87.3125,0.922389,0.284794,197.3906,0.880903,534428357.762392
87.375,0.922389,0.288899,195.5977,0.889506,534428357.762411
87.375,0.922389,0.292836,194.0039,0.895643,534428357.762428
87.375,0.922389,0.296117,192.4805,0.869824,534428357.778612
87.375,0.922389,0.300618,190.8164,0.875335,534428357.778693
87.0469,0.922389,0.305531,189.3633,0.881099,534428357.77871
86.6406,0.922389,0.310139,188.168,0.884701,534428357.778726
85.9844,0.922389,0.314976,186.7734,0.891349,534428357.795476
85.25,0.922389,0.319859,185.5781,0.892235,534428357.795556
84.3906,0.922389,0.325902,184.1836,0.89693,534428357.795575
83.6563,0.922389,0.330769,183.1875,0.891973,534428357.795592
82.5938,0.922389,0.336781,181.793,0.894838,534428357.81202
81.6719,0.922389,0.342076,180.5977,0.895071,534428357.812103
80.8125,0.922389,0.346074,179.4023,0.93612,534428357.81212
79.75,0.922389,0.350575,178.0781,0.97519,534428357.812138
78.8906,0.922389,0.353718,176.8828,0.980708,534428357.828579
77.8906,0.922389,0.356801,175.5586,0.986334,534428357.82866
77.0313,0.922389,0.359379,174.293,0.991357,534428357.828679
76.3594,0.922389,0.361394,173.2383,0.999704,534428357.828695
75.5625,0.922389,0.363652,172.043,1.008299,534428357.845472
74.8438,0.922389,0.365819,171.0469,1.019515,534428357.845605
74.1094,0.922389,0.367985,170.0508,0.998273,534428357.845624
73.5156,0.922389,0.370274,169.1836,0.978723,534428357.845641
72.8438,0.922389,0.372975,168.3281,0.98548,534428357.862542
72.3125,0.922389,0.375203,167.7305,1.032383,534428357.862633
71.6563,0.922389,0.377797,167.1328,1.04129,534428357.862655
