x,l,a,y,p,t
75.1719,0.954448,0.521733,305.1445,0.333333,534428396.766715
75.1719,0.954448,0.521733,304.6758,0.333333,534428396.795234
75.1719,0.954448,0.521733,304.207,0.333333,534428396.795453
75.0938,0.954448,0.521733,303.4805,0.333333,534428396.822963
75.0313,0.954448,0.521733,303.2227,0.333333,534428396.823096
74.9688,0.954448,0.521733,302.9531,0.333333,534428396.823158
74.9688,0.954448,0.521733,302.7539,0.333333,534428396.823242
74.8438,0.954448,0.521733,302.4844,0.333333,534428396.82329
74.7656,0.954448,0.521733,302.2266,0.267969,534428396.823392
74.7031,0.954448,0.521733,301.957,0.235286,534428396.823453
74.5781,0.954448,0.521733,301.7578,0.202604,534428396.823518
74.4375,0.954448,0.521733,301.6289,0.243154,534428396.851672
74.3125,0.954448,0.521733,301.4883,0.281982,534428396.851782
74.1094,0.954448,0.521733,301.3594,0.28887,534428396.851853
73.8438,0.954448,0.521733,301.2891,0.295758,534428396.851889
73.5156,0.954448,0.521733,301.2305,0.261825,534428396.851973
73.1094,0.954448,0.521733,301.2305,0.234851,534428396.852009
72.6406,0.954448,0.521733,301.2305,0.236884,534428396.852063
72.1094,0.954448,0.521733,301.2305,0.238916,534428396.852096
71.4531,0.954448,0.521733,301.2305,0.240949,534428396.852128
70.7188,0.954448,0.521733,301.3594,0.242982,534428396.871741
69.9219,0.954448,0.521733,301.4883,0.243723,534428396.871882
69,0.954448,0.521733,301.7578,0.244699,534428396.872032
67.9375,0.954448,0.521733,301.957,0.277522,534428396.872115
66.9375,0.954448,0.521733,302.2266,0.309207,534428396.872172
65.8125,0.954448,0.521733,302.4844,0.311712,534428396.872205
64.6875,0.954448,0.521733,302.8242,0.311921,534428396.872241
63.4219,0.954448,0.521733,303.2227,0.362545,534428396.889117
62.2344,0.954448,0.521733,303.6094,0.391254,534428396.889251
60.7656,0.954448,0.521733,304.207,0.419964,534428396.889286
59.6406,0.954448,0.521733,304.6758,0.472027,534428396.889313
58.0469,0.954448,0.521733,305.4023,0.524091,534428396.904494
56.6563,0.954448,0.521733,306.1406,0.541003,534428396.904597
55.2031,0.954448,0.521733,306.9961,0.557609,534428396.90463
53.875,0.954448,0.521733,307.8633,0.577073,534428396.90465
52.4063,0.954448,0.521733,308.918,0.596108,534428396.920882
51.0156,0.954448,0.521733,310.0547,0.626863,534428396.920995
49.5625,0.954448,0.521733,311.3086,0.666995,534428396.921034
48.2344,0.954448,0.521733,312.5039,0.728571,534428396.921057
46.8438,0.954448,0.521733,313.9688,0.75639,534428396.937529
45.5156,0.954448,0.521733,315.4219,0.786067,534428396.937619
44.0469,0.954448,0.521733,317.2148,0.778524,534428396.937642
42.9844,0.954448,0.521733,318.5391,0.803861,534428396.937663
41.6563,0.954448,0.521733,320.4023,0.827856,534428396.954212
40.7344,0.954448,0.521733,321.7969,0.853625,534428396.9543
39.6719,0.954448,0.521733,323.4492,0.828796,534428396.954324
38.6719,0.954448,0.521733,325.1133,0.817991,534428396.954343
37.875,0.954448,0.521733,326.5781,0.817408,534428396.97058
37.1563,0.954448,0.521733,328.1016,0.77469,534428396.970684
36.3594,0.954448,0.521733,329.625,0.760587,534428396.970709
35.75,0.954448,0.521733,331.0195,0.741136,534428396.97073
35.1563,0.954448,0.521733,332.4141,0.757189,534428396.987008
34.5625,0.954448,0.521733,333.9375,0.759014,534428396.987099
33.9688,0.954448,0.521733,335.4023,0.769836,534428396.987121
33.4375,0.954448,0.521733,336.7852,0.762608,534428396.987141
32.9063,0.954448,0.521733,338.3203,0.745602,534428397.003636
32.375,0.954448,0.521733,339.8438,0.727506,534428397.003724
31.9063,0.954448,0.521733,341.2383,0.721816,534428397.003746
31.4375,0.954448,0.51833,342.8906,0.722324,534428397.003765
30.9844,0.954448,0.514119,344.625,0.750455,534428397.0201
30.5156,0.954448,0.510243,346.3477,0.775272,534428397.020189
30.0469,0.954448,0.507298,348.1406,0.776551,534428397.020211
29.6563,0.954448,0.504597,349.8633,0.777078,534428397.020232
29.1875,0.954448,0.501729,351.7852,0.810393,534428397.035833
28.7813,0.954448,0.498738,353.5781,0.842554,534428397.035911
