x,l,a,y,p,t
42.8594,0.835063,0.323704,325.6406,0.333333,534428446.445664
43.0469,0.835063,0.323704,325.6406,0.333333,534428446.478559
43.25,0.835063,0.323704,325.582,0.333333,534428446.478726
43.4531,0.835063,0.323704,325.4414,0.333333,534428446.478789
43.7188,0.835063,0.323704,325.2422,0.355208,534428446.478882
44.0469,0.835063,0.323704,325.043,0.388542,534428446.491173
44.375,0.835063,0.323704,324.7852,0.421875,534428446.491266
44.7813,0.835063,0.323704,324.5156,0.463542,534428446.491296
45.1719,0.835063,0.323704,324.1875,0.496875,534428446.500828
45.5781,0.835063,0.323704,323.7891,0.530208,534428446.509367
45.9063,0.835063,0.323704,323.3203,0.563542,534428446.509459
46.3125,0.835063,0.323704,322.793,0.596875,534428446.509488
46.7031,0.835063,0.323704,322.1953,0.664063,534428446.50951
47.0938,0.835063,0.323704,321.4688,0.739583,534428446.509532
47.4375,0.835063,0.323704,320.6719,0.764583,534428446.509554
47.7656,0.835063,0.323704,319.875,0.7263,534428446.527329
48.0938,0.835063,0.323704,319.0781,0.719658,534428446.527406
48.2969,0.835063,0.323704,318.2813,0.581267,534428446.527438
48.5,0.835063,0.323704,317.543,0.521587,534428446.527456
48.625,0.835063,0.323704,316.8164,0.506019,534428446.543908
48.6875,0.835063,0.323704,316.0898,0.485694,534428446.543979
48.6875,0.836559,0.323704,315.4922,0.393644,534428446.543997
48.6875,0.838497,0.323704,314.9648,0.351006,534428446.544016
48.5625,0.839992,0.323704,314.4961,0.333075,534428446.560622
48.2344,0.841045,0.323704,314.168,0.298201,534428446.560699
47.7656,0.841518,0.323704,313.8281,0.292828,534428446.56072
47.2344,0.841518,0.323704,313.6992,0.270638,534428446.560739
46.6406,0.841518,0.323704,313.6289,0.259988,534428446.577215
45.9688,0.841518,0.323704,313.6289,0.404123,534428446.577296
45.3125,0.841518,0.323704,313.6289,0.473755,534428446.577315
44.6406,0.841518,0.323704,313.7695,0.505745,534428446.577331
43.8438,0.841518,0.323704,314.2266,0.536473,534428446.593723
43.0469,0.841518,0.323704,314.7656,0.626434,534428446.593808
42.25,0.841518,0.323704,315.3633,0.673249,534428446.593831
