x,l,a,y,p,t
116.5,0.758754,0.571522,294.7266,0.333333,534428502.858724
116.1094,0.758754,0.571522,294.3867,0.333333,534428502.891461
115.5781,0.758754,0.571522,294.1875,0.333333,534428502.891683
115.1094,0.758754,0.571522,294.0586,0.333333,534428502.925038
114.6406,0.758754,0.571522,294,0.333333,534428502.952626
114.25,0.758754,0.571522,294,0.333333,534428502.952731
113.7188,0.758754,0.571522,294,0.333333,534428502.952764
113.3125,0.758754,0.571522,294,0.333333,534428502.952797
112.8594,0.758754,0.571522,294,0.333333,534428502.952828
112.3906,0.758754,0.571522,294,0.333333,534428502.95286
111.8594,0.758754,0.571522,294,0.333333,534428502.952891
111.3281,0.758754,0.571522,294,0.255816,534428502.95292
110.8594,0.758754,0.571522,294.0586,0.221991,534428502.952949
110.4063,0.758754,0.571522,294.0586,0.210012,534428502.952983
109.875,0.758754,0.571522,294.1289,0.198033,534428502.953015
109.4063,0.758754,0.571522,294.1289,0.163621,534428502.953047
108.875,0.758754,0.571522,294.1875,0.172217,534428502.953079
108.4688,0.758754,0.571522,294.1875,0.152995,534428502.953201
107.9375,0.758754,0.571522,294.3281,0.135912,534428502.953236
107.4844,0.758754,0.571522,294.5273,0.114265,534428502.953272
106.9531,0.758754,0.571522,294.8555,0.103863,534428502.953312
106.4219,0.758754,0.571522,295.2539,0.105759,534428502.953344
105.6875,0.758754,0.571522,295.8516,0.104649,534428502.953376
105.0313,0.758754,0.571522,296.5781,0.106281,534428502.965908
104.2344,0.758754,0.571522,297.4453,0.107912,534428502.966016
103.4375,0.758754,0.571522,298.3711,0.10599,534428502.966051
102.375,0.758754,0.571522,299.5664,0.106978,534428502.966085
101.375,0.758754,0.571522,300.7617,0.119778,534428502.966121
100.5156,0.758754,0.571522,301.8867,0.119932,534428502.966154
99.4531,0.758754,0.571522,303.2813,0.12046,534428502.984628
98.3906,0.758754,0.571522,304.7461,0.133217,534428502.984766
97.3906,0.758754,0.571522,306.1406,0.134586,534428502.984795
96.3281,0.758754,0.571522,307.5938,0.135955,534428502.984819
95.4063,0.758754,0.571522,308.9883,0.170438,534428502.984843
94.4063,0.758754,0.571522,310.5117,0.174686,534428503.001432
93.4844,0.758754,0.571522,312.0469,0.17767,534428503.001563
92.625,0.758754,0.571522,313.5703,0.182609,534428503.001606
91.8281,0.758754,0.571522,315.0234,0.207877,534428503.001645
90.9531,0.758754,0.571522,316.6875,0.213739,534428503.018334
90.2344,0.758754,0.571522,318.2813,0.218775,534428503.018436
89.5,0.758754,0.571522,320.0039,0.227744,534428503.018459
88.7656,0.758754,0.571522,321.7266,0.231933,534428503.018482
88.1719,0.758754,0.571522,323.3906,0.242665,534428503.034714
87.5156,0.758754,0.571522,325.1836,0.248795,534428503.034811
86.9844,0.758754,0.571522,327.0352,0.228328,534428503.034834
86.5156,0.758754,0.571522,328.7578,0.234184,534428503.034853
86.0469,0.758754,0.571522,330.75,0.242515,534428503.051214
85.6563,0.758754,0.571522,332.6133,0.248575,534428503.051293
85.3125,0.758754,0.571522,334.6055,0.245007,534428503.051312
85.125,0.758754,0.571522,336.457,0.250307,534428503.051364
84.9844,0.758754,0.571522,338.7188,0.254075,534428503.067344
84.9844,0.758754,0.571522,340.3711,0.253509,534428503.067423
84.9844,0.758754,0.571522,342.293,0.258059,534428503.067442
84.9844,0.758754,0.56931,344.2852,0.261245,534428503.067458
85.0469,0.758754,0.566731,346.0078,0.264084,534428503.083717
85.4531,0.758754,0.564702,347.6719,0.251776,534428503.083799
86.0469,0.758754,0.563115,349.2656,0.254129,534428503.083818
86.7188,0.758754,0.562199,350.4609,0.25713,534428503.083835
87.5781,0.758754,0.561436,351.6563,0.260094,534428503.099957
88.6406,0.758754,0.560902,352.6523,0.245187,534428503.10004
89.8906,0.758754,0.560582,353.5781,0.247245,534428503.100059
90.9531,0.758754,0.560582,354.1758,0.249418,534428503.100076
92.5469,0.758754,0.560582,354.7734,0.251056,534428503.116376
93.9375,0.758754,0.560582,355.1719,0.253123,534428503.116461
95.3438,0.758754,0.560582,355.5,0.254548,534428503.116481
96.9375,0.758754,0.560582,355.6992,0.255979,534428503.116498
98.3281,0.758754,0.560582,355.6992,0.24291,534428503.131999
99.9844,0.758754,0.560582,355.6992,0.243623,534428503.132073
101.5781,0.758754,0.560582,355.6992,0.241543,534428503.132091
102.8438,0.758754,0.560582,355.6992,0.245251,534428503.132107
104.4219,0.758754,0.560582,355.3008,0.244677,534428503.147982
106.0938,0.758754,0.560582,354.7031,0.244642,534428503.148065
107.6875,0.758754,0.560582,354.0469,0.244147,534428503.148083
109.1406,0.758754,0.560582,353.25,0.244758,534428503.148101
111.0625,0.758754,0.560582,352.1133,0.244889,534428503.16398
112.5313,0.758754,0.560582,351.1172,0.244919,534428503.164072
