x,l,a,y,p,t
89.1094,0.735225,0.21729,315.293,0.333333,534428549.035865
88.7656,0.735225,0.21729,315.1641,0.333333,534428549.048017
88.3125,0.735225,0.21729,314.625,0.333333,534428549.070388
88.1094,0.735225,0.21729,314.0273,0.333333,534428549.070516
88.0469,0.735225,0.21729,313.3711,0.333333,534428549.070547
88.0469,0.735225,0.21729,312.7031,0.333333,534428549.070581
88.0469,0.735225,0.21729,311.9766,0.333333,534428549.070604
88.0469,0.735225,0.21729,311.3086,0.276008,534428549.070627
88.0469,0.735225,0.21729,310.6523,0.218684,534428549.088682
88.1094,0.735225,0.21729,309.9141,0.19753,534428549.088781
88.2344,0.735225,0.21729,309.1875,0.24271,534428549.088808
88.375,0.735225,0.21729,308.4609,0.263001,534428549.088837
88.5,0.735225,0.21729,307.7344,0.283291,534428549.088866
88.5781,0.735225,0.21729,307.0664,0.278692,534428549.106492
88.6406,0.735225,0.21729,306.668,0.312115,534428549.106587
88.7031,0.735225,0.21729,306.2695,0.310043,534428549.106623
88.7656,0.735225,0.21729,306,0.3088,534428549.106653
88.8438,0.735225,0.21729,305.8711,0.34707,534428549.123557
88.8438,0.735225,0.21729,305.8008,0.384649,534428549.123712
88.9063,0.735225,0.21729,305.7422,0.387418,534428549.123742
88.9688,0.735225,0.21729,305.7422,0.390187,534428549.123769
89.0313,0.735225,0.21729,305.7422,0.451441,534428549.139671
89.1719,0.735225,0.21729,305.8711,0.484875,534428549.139761
89.3594,0.735225,0.21729,306.1406,0.53769,534428549.139784
89.5625,0.735225,0.21729,306.3984,0.581042,534428549.139813
89.8281,0.735225,0.21729,306.7383,0.62779,534428549.155337
90.0313,0.735225,0.21729,306.9375,0.643708,534428549.155421
90.2969,0.735225,0.21729,307.1953,0.669713,534428549.155446
90.5,0.735225,0.21729,307.3359,0.676902,534428549.155466
90.7656,0.735225,0.21729,307.5352,0.703248,534428549.171015
90.9531,0.735225,0.21729,307.6641,0.722834,534428549.171103
91.0938,0.735225,0.21729,307.793,0.716174,534428549.171131
91.2188,0.735225,0.21729,307.8633,0.736038,534428549.171149
91.2969,0.735225,0.21729,307.8633,0.762412,534428549.186683
91.3594,0.735225,0.21729,307.8633,0.782822,534428549.186887
91.4219,0.735225,0.21729,307.8633,0.761393,534428549.186932
91.4844,0.735225,0.21729,307.8633,0.78055,534428549.18695
91.4844,0.735225,0.21729,307.8633,0.796637,534428549.202862
